w2026,w2027,w2028,clean_valid_mae,clean_valid_pearson,q2c2_mae,q2c2_pearson,seed2028_clean_pearson,seed2028_q2c2_pearson,clean_pearson_preserved,q2c2_pearson_preserved,feasible,mean_mae,mean_pearson
0.9,0.1,0.0,0.5905905415600801,0.6640294837425431,0.5889046901252498,0.6631786366269212,0.6722288750072771,0.6720929511659574,False,False,False,0.5897476158426649,0.6636040601847322
0.5,0.4,0.1,0.5906602612604479,0.6651792876575956,0.5898235885676119,0.6650694277726318,0.6722288750072771,0.6720929511659574,False,False,False,0.5902419249140298,0.6651243577151137
0.8,0.2,0.0,0.5913833609362552,0.663995499522974,0.5898548168869138,0.6633848027646373,0.6722288750072771,0.6720929511659574,False,False,False,0.5906190889115845,0.6636901511438056
0.2,0.6,0.2,0.5913763042539358,0.6655067823391626,0.591208804142144,0.6659354948686178,0.6722288750072771,0.6720929511659574,False,False,False,0.5912925541980399,0.6657211386038902
0.0,0.7,0.3,0.5914552127471664,0.6658186837065078,0.5914826385887005,0.6665746439690412,0.6722288750072771,0.6720929511659574,False,False,False,0.5914689256679335,0.6661966638377745
0.7,0.3,0.0,0.5923711379191704,0.6638523615624755,0.5910290829590789,0.6634815309491628,0.6722288750072771,0.6720929511659574,False,False,False,0.5917001104391246,0.6636669462558191
0.4,0.5,0.1,0.5920259837798036,0.6647611983979533,0.5914765328511832,0.6648968654871548,0.6722288750072771,0.6720929511659574,False,False,False,0.5917512583154934,0.664829031942554
0.6,0.4,0.0,0.5935341309919789,0.6636026903014671,0.5924220157998713,0.6634724318785614,0.6722288750072771,0.6720929511659574,False,False,False,0.5929780733959251,0.6635375610900143
0.1,0.7,0.2,0.5933066472779591,0.6648173219615358,0.5933011438713952,0.6655035992400941,0.6722288750072771,0.6720929511659574,False,False,False,0.5933038955746772,0.6651604606008149
0.3,0.6,0.1,0.5935951668196,0.6642403930928438,0.5933650246068781,0.6646246224482022,0.6722288750072771,0.6720929511659574,False,False,False,0.5934800957132391,0.664432507770523
0.5,0.5,0.0,0.59482521271067,0.6632491982124968,0.5940204820276144,0.663361142376467,0.6722288750072771,0.6720929511659574,False,False,False,0.5944228473691422,0.6633051702944819
0.0,0.8,0.2,0.595333684493716,0.6640300101285284,0.5955457213387276,0.6649789306252852,0.6722288750072771,0.6720929511659574,False,False,False,0.5954397029162218,0.6645044703769067
0.2,0.7,0.1,0.5954866129659362,0.6636199064587859,0.5954329144639009,0.6642565224019019,0.6722288750072771,0.6720929511659574,False,False,False,0.5954597637149186,0.6639382144303438
0.4,0.6,0.0,0.5962822298959389,0.6627946787995227,0.595865485284009,0.6631513132134416,0.6722288750072771,0.6720929511659574,False,False,False,0.596073857589974,0.6629729960064821
0.1,0.8,0.1,0.5974424678095422,0.6629028304892907,0.5976717602077677,0.6637963745243494,0.6722288750072771,0.6720929511659574,False,False,False,0.597557114008655,0.66334960250682
0.3,0.7,0.0,0.5980403843202762,0.6622419957453325,0.5979156424389909,0.6628465976429762,0.6722288750072771,0.6720929511659574,False,False,False,0.5979780133796335,0.6625442966941544
0.0,0.9,0.1,0.5994575969670173,0.6620923034319379,0.6001109742591559,0.663247963098776,0.6722288750072771,0.6720929511659574,False,False,False,0.5997842856130866,0.662670133265357
0.2,0.8,0.0,0.5999338054763419,0.661594072266166,0.6001471510526789,0.6624506406730862,0.6722288750072771,0.6720929511659574,False,False,False,0.6000404782645103,0.6620223564696261
0.1,0.9,0.0,0.6020188807172108,0.6608538807271743,0.602569657744924,0.6619670690862093,0.6722288750072771,0.6720929511659574,False,False,False,0.6022942692310673,0.6614104749066918
0.0,1.0,0.0,0.6042719348487291,0.6600244325667375,0.6052254859148838,0.6613994822124741,0.6722288750072771,0.6720929511659574,False,False,False,0.6047487103818064,0.6607119573896059
