modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score
T,3,19,21,20|21|22|23|24|25|26,18,18,missing,0.5558251142501831,-0.3733706622779369,0.005428135395050049,0.03552526855468752,0.005428135395050049,0.011349013487497967,0.0025358487364282927
T,3,20,22,23|24|25|26|27,18,18,missing,0.549880862236023,-0.36446184880137444,0.011372387409210205,0.04443408203124999,0.011372387409210205,0.01877806774775187,0.0041958130918742535
T,3,21,23,26|27|28,18,18,missing,0.5943018794059753,-0.4264935870826244,-0.03304862976074219,0.017597656249999982,0.0,0.0029329427083333304,0.0006553432216057169
T,3,22,24,27|28|29,18,18,missing,0.40243685245513916,-0.19511740837097166,0.158816397190094,0.21377852246165277,0.158816397190094,0.1944461509337028,0.04344747908633267
T,3,23,25,28|29|30,18,18,missing,0.3854498267173767,-0.18212812761068342,0.17580342292785645,0.226767803221941,0.17580342292785645,0.21359805679817995,0.04772682339587363
T,3,24,26,29|30|31,18,18,missing,0.37078094482421875,-0.17814666325449943,0.1904723048210144,0.230749267578125,0.1904723048210144,0.22893051608403525,0.051152742093494824
T,3,25,27,30|31|32,18,18,missing,0.5117517113685608,-0.3290685841500759,0.04950153827667236,0.07982734668254854,0.04950153827667236,0.06280609605709712,0.014033533355285146
T,3,26,28,31|32|33,18,18,missing,0.5051042437553406,-0.31642024186849593,0.05614900588989258,0.0924756889641285,0.05614900588989258,0.07156162071724732,0.015989887197904774
T,3,27,29,32|33|34,18,18,missing,0.523988664150238,-0.33144422478079794,0.03726458549499512,0.0774517060518265,0.03726458549499512,0.05017320317029953,0.01121081175928833
T,3,28,30,33|34|35,18,18,missing,0.5704107880592346,-0.3861949650108814,-0.009157538414001465,0.022700965821743024,0.0,0.0037834943036238375,0.0008453923558816169
T,3,29,31,34|35|36,18,18,missing,0.5735355615615845,-0.40075701481699944,-0.012282311916351318,0.008138916015624997,0.0,0.0013564860026041663,0.0003030962399926443
T,3,30,32,35|36|37,18,18,missing,0.5686473250389099,-0.4031327091515064,-0.007394075393676758,0.005763221681118036,0.0,0.000960536946853006,0.0002146245050861141
T,3,31,33,36|37|38,18,18,missing,0.5545090436935425,-0.4061682887434959,0.006744205951690674,0.0027276420891285125,0.006744205951690674,0.007198812966545426,0.001608518730293834
T,3,32,34,37|38|39,18,18,missing,0.5570078492164612,-0.40504641667604446,0.004245400428771973,0.0038495141565799695,0.004245400428771973,0.004886986121535301,0.0010919590143134118
T,3,33,35,38|39|40,18,18,missing,0.5048238039016724,-0.3355576930403709,0.05642944574356079,0.07333823779225351,0.05642944574356079,0.06865248537560305,0.015339863547097226
T,3,34,36,39|40|41,18,18,missing,0.5012553334236145,-0.33425986052155493,0.05999791622161865,0.0746360703110695,0.05999791622161865,0.07243726127346357,0.01618554226523661
T,3,35,37,40|41|42,18,18,missing,0.522992730140686,-0.3581046901106834,0.03826051950454712,0.05079124072194102,0.03826051950454712,0.04672572629153729,0.010440499881828193
T,3,36,38,41|42|43,18,18,missing,0.604491651058197,-0.4651424557328224,-0.04323840141296387,0.05624652490019799,0.0,0.009374420816699666,0.002094641372041914
T,3,37,39,42|43|44,18,18,missing,0.6336300373077393,-0.5226208112001419,-0.0723767876625061,0.11372488036751749,0.0,0.01895414672791958,0.004235156569601348
T,3,38,40,43|44|45,18,18,missing,0.680180013179779,-0.588699988937378,-0.1189267635345459,0.17980405810475353,0.0,0.02996734301745892,0.0066959695667513
T,3,39,41,44|45|46|47|48,18,18,missing,0.6715167760848999,-0.551656890308857,-0.11026352643966675,0.14276095947623257,0.0,0.02379349324603876,0.005316470885301987
T,4,0,3,1|2|3|4,18,18,missing,0.5486901998519897,-0.4062122989952564,0.012563049793243408,0.002683631837368028,0.012563049793243408,0.01301032176613808,0.0029070551416236186
T,4,1,4,2|3|4|5,18,18,missing,0.5385302901268005,-0.37983777946829794,0.022722959518432617,0.02905815136432649,0.022722959518432617,0.027565984745820366,0.006159404750297922
T,4,2,5,3|4|5|6,18,18,missing,0.542617678642273,-0.3848531490921974,0.018635571002960205,0.02404278174042701,0.018635571002960205,0.022642701293031375,0.005059335379811546
T,4,3,6,4|5|6|7,18,18,missing,0.5622278451919556,-0.4059483180403709,-0.0009745955467224121,0.002947612792253529,0.0,0.0004912687987089215,0.00010977018961383862
T,4,4,7,5|6|7|8,18,18,missing,0.5733733177185059,-0.3916062389373779,-0.012120068073272705,0.01728969189524654,0.0,0.002881615315874423,0.0006438745152327391
T,4,5,8,6|7|8|9,18,18,missing,0.6116865277290344,-0.4302990909874439,-0.05043327808380127,0.021403160154819467,0.0,0.003567193359136578,0.0007970615932677125
T,4,6,9,7|8|9|10,18,18,missing,0.6222110986709595,-0.43784406999349595,-0.06095784902572632,0.028948139160871522,0.0,0.004824689860145254,0.0010780393995465263
T,4,7,10,8|9|10|11,18,18,missing,0.6047375798225403,-0.4084559894263744,-0.04348433017730713,0.00043994140625003286,0.0,7.332356770833881e-05,1.6383580540144164e-05
T,4,8,11,9|10|11|12,18,18,missing,0.5853659510612488,-0.3883066783905029,-0.024112701416015625,0.02058925244212151,0.0,0.003431542073686918,0.00076675136928381
T,4,9,12,10|11|12|13,18,18,missing,0.5625202655792236,-0.3628340602278709,-0.0012670159339904785,0.04606187060475353,0.0,0.007676978434125588,0.0017153610825478467
