method,repeat,k_text,k_audio,k_vision,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta
random,17,15,10,5,4,04,missing,0.38744616508483887,0.12858047712743284,0.1812882423400879,0.1778545570075512
random,18,15,10,5,4,04,missing,0.39032214879989624,0.21054155574142935,0.17841225862503052,0.2598156356215477
random,19,15,10,5,4,04,missing,0.4207586646080017,0.2317027400672436,0.14797574281692505,0.28097681994736196
random,20,15,10,5,4,04,missing,0.2994856834411621,0.39694474836587906,0.26924872398376465,0.4462188282459974
random,21,15,10,5,4,04,missing,0.18148104846477509,0.6422560657501221,0.3872533589601517,0.6915301456302404
random,22,15,10,5,4,04,missing,0.2921607792377472,0.42347318294048314,0.27657362818717957,0.4727472628206015
random,23,15,10,5,4,04,missing,0.15093819797039032,0.7359635315775872,0.41779620945453644,0.7852376114577055
random,24,15,10,5,4,04,missing,0.3502630889415741,0.3450756458282471,0.21847131848335266,0.39434972570836546
random,25,15,10,5,4,04,missing,0.25729310512542725,0.4970314182877541,0.3114413022994995,0.5463054981678724
random,26,15,10,5,4,04,missing,0.21405872702598572,0.5206562503218651,0.35467568039894104,0.5699303302019835
random,27,15,10,5,4,04,missing,0.2975620925426483,0.5922346956372262,0.27117231488227844,0.6415087755173445
random,28,15,10,5,4,04,missing,0.32182449102401733,0.3383885310828686,0.24690991640090942,0.38766261096298693
random,29,15,10,5,4,04,missing,0.3161567151546478,0.3685904925107956,0.25257769227027893,0.41786457239091396
random,30,15,10,5,4,04,missing,0.2157091498374939,0.6652649690747261,0.35302525758743286,0.7145390489548444
random,31,15,10,5,4,04,missing,0.4190082848072052,0.3393123972952366,0.14972612261772156,0.38858647717535494
random,32,15,10,5,4,04,missing,0.20042920112609863,0.6195550999283791,0.3683052062988281,0.6688291798084974
random,33,15,10,5,4,04,missing,0.4179418683052063,0.2253015979766846,0.15079253911972046,0.2745756778568029
random,34,15,10,5,4,04,missing,0.3524002134799957,0.3891577801048756,0.21633419394493103,0.43843185998499395
random,35,15,10,5,4,04,missing,0.4385669231414795,0.1404039024204016,0.13016748428344727,0.18967798230051996
random,36,15,10,5,4,04,missing,0.3892676532268524,0.2315707630157471,0.17946675419807434,0.2808448428958655
random,37,15,10,5,4,04,missing,0.30990874767303467,0.3743317493438721,0.2588256597518921,0.4236058292239904
random,38,15,10,5,4,04,missing,0.2683227062225342,0.5252756350874901,0.3004117012023926,0.5745497149676084
random,39,15,10,5,4,04,missing,0.3690497577190399,0.31190405305624014,0.19968464970588684,0.3611781329363585
random,40,15,10,5,4,04,missing,0.3479819595813751,0.3461314890921116,0.22075244784355164,0.39540556897222995
random,41,15,10,5,4,04,missing,0.1808912456035614,0.6095244143843651,0.38784316182136536,0.6587984942644834
random,42,15,10,5,4,04,missing,0.4847007393836975,0.08945954549461606,0.08403366804122925,0.1387336253747344
random,43,15,10,5,4,04,missing,0.4741729497909546,0.05667755354344847,0.09456145763397217,0.10595163342356682
random,44,15,10,5,4,04,missing,0.43205973505973816,0.2150509417295456,0.1366746723651886,0.264325021609664
random,45,15,10,5,4,04,missing,0.31644439697265625,0.3952069475889206,0.2522900104522705,0.44448102746903895
