scenario_id,scenario,modality_combination,missing_rate_percent,position,seed_2026_raw_accuracy,seed_2026_raw_macro_f1,seed_2026_raw_weighted_f1,seed_2026_raw_mae,seed_2026_raw_pearson,seed_2027_raw_accuracy,seed_2027_raw_macro_f1,seed_2027_raw_weighted_f1,seed_2027_raw_mae,seed_2027_raw_pearson,seed_2028_raw_accuracy,seed_2028_raw_macro_f1,seed_2028_raw_weighted_f1,seed_2028_raw_mae,seed_2028_raw_pearson,ensemble_raw_accuracy,ensemble_raw_macro_f1,ensemble_raw_weighted_f1,ensemble_raw_mae,ensemble_raw_pearson,ensemble_cal_accuracy,seed_2028_cal_accuracy,ensemble_cal_macro_f1,seed_2028_cal_macro_f1,ensemble_cal_weighted_f1,seed_2028_cal_weighted_f1,ensemble_cal_mae,seed_2028_cal_mae,ensemble_cal_pearson,seed_2028_cal_pearson
41,V_40_Middle,V,40,Middle,0.6153846153846154,0.602604062174075,0.6206942766132749,0.5872803103833736,0.663044775615936,0.6304945054945055,0.6173337162442237,0.6369588721392957,0.6058885832777717,0.6626234386095637,0.6126373626373627,0.6043961776580424,0.6202218703755764,0.5738073381298519,0.6745502301771668,0.6167582417582418,0.6049045079538721,0.6232341772817637,0.582956333074978,0.6693253117104937,0.6167582417582418,0.6126373626373627,0.6049045079538721,0.6043961776580424,0.6232341772817637,0.6202218703755764,0.5727842634199358,0.574451035714002,0.6673150903846111,0.6718145631597586
42,V_40_Tail,V,40,Tail,0.6208791208791209,0.6077196303367547,0.6251601566625798,0.5930752580842147,0.6604928857452436,0.6304945054945055,0.6177047123623937,0.6362287247680144,0.6131153905170632,0.6588090167007291,0.6167582417582418,0.6079261014334251,0.623866045920113,0.5819188250167356,0.6703835775353046,0.6195054945054945,0.6068997878784238,0.6251564965963838,0.5902099368322791,0.6659287538985437,0.6195054945054945,0.6167582417582418,0.6068997878784238,0.6079261014334251,0.6251564965963838,0.623866045920113,0.5768453093896255,0.5806735041558251,0.664003980834213,0.6677812931141925
43,V_50_Head,V,50,Head,0.614010989010989,0.6045562585674013,0.6201498823551379,0.5875853457498353,0.661299388381962,0.6181318681318682,0.6077391046865327,0.6255402139113679,0.6066806216693514,0.6606661522855928,0.6112637362637363,0.6040096325901009,0.6189588760693411,0.5760393703745289,0.6721902351041102,0.614010989010989,0.6037855500574799,0.6207474533638502,0.5841237189718983,0.6674098090811381,0.614010989010989,0.6112637362637363,0.6037855500574799,0.6040096325901009,0.6207474533638502,0.6189588760693411,0.5736579991576053,0.5770080990220655,0.6651425117695493,0.6691692765139399
44,V_50_Middle,V,50,Middle,0.6236263736263736,0.610820677638084,0.6289815576817069,0.5870360681521041,0.6626222453294205,0.625,0.6117921290502016,0.631173441160425,0.60657875569394,0.6628050586794175,0.6098901098901099,0.6021045164432249,0.6170519668077626,0.5743930857464835,0.6744341021574575,0.6153846153846154,0.6036565815589505,0.6216993813015702,0.5827832152323299,0.6692684464428879,0.6153846153846154,0.6098901098901099,0.6036565815589505,0.6021045164432249,0.6216993813015702,0.6170519668077626,0.5731531901904022,0.574960479046699,0.6673552651208783,0.6717777823200345
45,V_50_Tail,V,50,Tail,0.6236263736263736,0.6103082994194846,0.6282610249872288,0.5925227767368267,0.6599592536069017,0.6346153846153846,0.6211723666052024,0.6399275397392504,0.614809230317945,0.658643019084617,0.6126373626373627,0.6045077275288024,0.6195272717154334,0.5813098659759367,0.6711505287276781,0.6195054945054945,0.6073807333385094,0.6255421829159004,0.5901793461675063,0.6659363350013648,0.6195054945054945,0.6126373626373627,0.6073807333385094,0.6045077275288024,0.6255421829159004,0.6195272717154334,0.5768638449669594,0.580213241888681,0.6641046818958316,0.6686333743623631
76,A+V_10_Head,A+V,10,Head,0.625,0.6142829036622338,0.6313071305398459,0.5894677559793978,0.6634017063283297,0.6291208791208791,0.6193767304929509,0.6362779431800034,0.6063842200520602,0.6593209471620896,0.6153846153846154,0.6062693903508527,0.6226857900581575,0.5755411958997394,0.6720099954514783,0.6222527472527473,0.6113775688404605,0.6292067085825279,0.5847935498565873,0.6678955643456687,0.6222527472527473,0.6153846153846154,0.6113775688404605,0.6062693903508527,0.6292067085825279,0.6226857900581575,0.5733804573565449,0.5763687492138246,0.665640327569477,0.6690533490121108
77,A+V_10_Middle,A+V,10,Middle,0.6208791208791209,0.6098001762228809,0.6269632150740896,0.5873187540692615,0.6646869157878056,0.6291208791208791,0.6187985038339264,0.6362468245678724,0.6023514184200174,0.6621162375576263,0.6153846153846154,0.6062693903508527,0.6226857900581575,0.5733289451102962,0.6741957234753082,0.625,0.6135341672265839,0.6318103284788512,0.5821151143287892,0.6697530686092761,0.625,0.6153846153846154,0.6135341672265839,0.6062693903508527,0.6318103284788512,0.6226857900581575,0.571409417407553,0.5741525789424777,0.6675955109611897,0.671371982699034
78,A+V_10_Tail,A+V,10,Tail,0.6263736263736264,0.6132714820345482,0.6315465964818876,0.5919336833182599,0.662712753065448,0.6346153846153846,0.6224074813493327,0.6408927641538773,0.6085525472945237,0.6597766585521403,0.6167582417582418,0.6059474198693214,0.6237841954310545,0.5779223034547253,0.6718921892031422,0.625,0.6122752042430767,0.6313218730224444,0.5870201877444546,0.6677265225621395,0.625,0.6167582417582418,0.6122752042430767,0.6059474198693214,0.6313218730224444,0.6237841954310545,0.5743171602905943,0.5771213179134896,0.6656001474423616,0.6690792720492542
79,A+V_20_Head,A+V,20,Head,0.6222527472527473,0.6132185765764425,0.6290627596479461,0.5886704562497991,0.6620217937981037,0.6222527472527473,0.6123779148035634,0.6295576231002753,0.6048089950498972,0.6594756738707439,0.6085164835164835,0.6013192191990504,0.6164503540278373,0.5758948102798108,0.6706701370643717,0.625,0.6157718771247422,0.6322232468754193,0.5845258537434287,0.6669340522170215,0.625,0.6085164835164835,0.6157718771247422,0.6013192191990504,0.6322232468754193,0.6164503540278373,0.5739377594306083,0.5773142439828632,0.6646068972196362,0.6676246451515679
80,A+V_20_Middle,A+V,20,Middle,0.625,0.6140882666517581,0.630883701048355,0.586831953683561,0.6641231505568819,0.6291208791208791,0.6180788162355203,0.635960076419887,0.6020557290291065,0.6631150028637891,0.6153846153846154,0.6065068793282538,0.6228151177994862,0.5721084197348618,0.6749781755780658,0.6236263736263736,0.6134050077431827,0.6302662097774726,0.5812912047004852,0.6699927281982568,0.6236263736263736,0.6153846153846154,0.6134050077431827,0.6065068793282538,0.6302662097774726,0.6228151177994862,0.5710511956935673,0.5733120854276713,0.6678538840629331,0.6721618034870935
