scenario_id,scenario,modality_combination,missing_rate_percent,replicate,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,seed_2026_raw_accuracy,seed_2026_raw_macro_f1,seed_2026_raw_weighted_f1,seed_2026_raw_mae,seed_2026_raw_pearson,seed_2027_raw_accuracy,seed_2027_raw_macro_f1,seed_2027_raw_weighted_f1,seed_2027_raw_mae,seed_2027_raw_pearson,seed_2028_raw_accuracy,seed_2028_raw_macro_f1,seed_2028_raw_weighted_f1,seed_2028_raw_mae,seed_2028_raw_pearson,ensemble_raw_accuracy,ensemble_raw_macro_f1,ensemble_raw_weighted_f1,ensemble_raw_mae,ensemble_raw_pearson,ensemble_cal_accuracy,seed_2028_cal_accuracy,ensemble_cal_macro_f1,seed_2028_cal_macro_f1,ensemble_cal_weighted_f1,seed_2028_cal_weighted_f1,ensemble_cal_mae,seed_2028_cal_mae,ensemble_cal_pearson,seed_2028_cal_pearson
16,V_10_MG1,V,10,1,0.10534294452739595,2.14010989010989,2.14010989010989,0.6236263736263736,0.611137331062143,0.6283168958383781,0.588576199527789,0.6642163828214667,0.6277472527472527,0.6179049101269585,0.6353084729583514,0.6042571994834222,0.6609819551453145,0.6195054945054945,0.6097079306144982,0.6267004243798057,0.5755642179481604,0.6728026653317446,0.6263736263736264,0.6148541427894966,0.6327641436193725,0.583980438002682,0.6689058117524158,0.6263736263736264,0.6195054945054945,0.6148541427894966,0.6097079306144982,0.6327641436193725,0.6267004243798057,0.5728307433384624,0.5759301081886823,0.6667558818337194,0.6699520002706321
17,V_10_MG2,V,10,2,0.10534294452739595,2.1565934065934065,2.1565934065934065,0.6304945054945055,0.6181481863604875,0.6354376937637805,0.5898760644985097,0.6633599432763215,0.6236263736263736,0.6135696788608037,0.6307974509541173,0.6062788659768118,0.6600162203920489,0.6195054945054945,0.6096896269481605,0.6269214203014579,0.5756857111272249,0.6729266684027682,0.6222527472527473,0.6103213158209614,0.6293742103800827,0.5849456174892711,0.6683368273484368,0.6222527472527473,0.6195054945054945,0.6103213158209614,0.6096896269481605,0.6293742103800827,0.6269214203014579,0.573502088287893,0.5761471358610543,0.6661482860708607,0.6700129860324905
18,V_10_MG3,V,10,3,0.10534294452739595,2.118131868131868,2.118131868131868,0.6291208791208791,0.6161811753980994,0.6340090508882626,0.5891877214864387,0.6640133973653701,0.6222527472527473,0.6124389384540136,0.6297237670770122,0.6055809711566665,0.66054248266465,0.614010989010989,0.6042018156786135,0.6214283616340264,0.5760396966444594,0.6726599956374999,0.6263736263736264,0.6145068903170913,0.6328526298442885,0.5848306933479323,0.6686368762555067,0.6263736263736264,0.614010989010989,0.6145068903170913,0.6042018156786135,0.6328526298442885,0.6214283616340264,0.5735755967818501,0.5763613267093078,0.666503288420882,0.669835367999737
19,V_20_MG1,V,20,1,0.20141871735878028,3.9038461538461537,3.9038461538461537,0.6263736263736264,0.6146864594488597,0.6316706984096565,0.5893825527771817,0.6627315119203734,0.6304945054945055,0.6195978515896929,0.637418331723144,0.6060794365315975,0.6607663486224059,0.6167582417582418,0.6075063373139501,0.6241257373634124,0.5756462842103217,0.67241102364445,0.6263736263736264,0.6149476237418385,0.6334566346417395,0.5845605602126309,0.6680957911925002,0.6263736263736264,0.6167582417582418,0.6149476237418385,0.6075063373139501,0.6334566346417395,0.6241257373634124,0.5734577811546214,0.5762949727573073,0.6659487801941549,0.6695672557012887
20,V_20_MG2,V,20,2,0.20141871735878028,3.8873626373626373,3.8873626373626373,0.6222527472527473,0.60893502744137,0.6268626188193339,0.5890809513915044,0.6629903407194394,0.6304945054945055,0.620044138117312,0.6374479613240099,0.6047983010105051,0.6607275132303532,0.6167582417582418,0.6080930408612061,0.6243969041312334,0.5745260875344604,0.6735918678796642,0.6263736263736264,0.6154484881010357,0.633050590742023,0.584123208347858,0.6685455070865018,0.6263736263736264,0.6167582417582418,0.6154484881010357,0.6080930408612061,0.633050590742023,0.6243969041312334,0.5729417352895543,0.5749913699000583,0.6663953903002734,0.6707655298961687
21,V_20_MG3,V,20,3,0.20141871735878028,3.907967032967033,3.907967032967033,0.6318681318681318,0.6200666111629899,0.6370287531629379,0.589516488425843,0.6633512206907527,0.6236263736263736,0.6140016247210782,0.6311490443681167,0.6061631285759447,0.6608139887454233,0.6153846153846154,0.6066995744817785,0.6230232510499799,0.5763625751689567,0.6725174172533417,0.6263736263736264,0.6147498406211618,0.6332258744423013,0.5853155124523155,0.6683508771597292,0.6263736263736264,0.6153846153846154,0.6147498406211618,0.6066995744817785,0.6332258744423013,0.6230232510499799,0.5738163785750776,0.5765952356627191,0.6661769086137103,0.6696889167414601
22,V_30_MG1,V,30,1,0.30199961759170707,5.652472527472527,5.652472527472527,0.6263736263736264,0.6144259523991614,0.6318031156703259,0.5888290303953729,0.6627112862334913,0.6277472527472527,0.616419803553759,0.6347672674907336,0.6063011214341764,0.6608227912487304,0.614010989010989,0.6048499994298164,0.62142366109944,0.5762871809426572,0.6718400876722357,0.6222527472527473,0.6096711808829801,0.6284585095131892,0.5850481958548118,0.6678370498883416,0.6222527472527473,0.614010989010989,0.6096711808829801,0.6048499994298164,0.6284585095131892,0.62142366109944,0.5735755142969363,0.576556456844476,0.6657337194846397,0.669008436938652
23,V_30_MG2,V,30,2,0.30199961759170707,5.6291208791208796,5.6291208791208796,0.6236263736263736,0.6112584112235679,0.6285072910608003,0.5887186332595545,0.663134406926495,0.6304945054945055,0.6200216492559698,0.6376726935179926,0.6058140285927188,0.661757690464009,0.614010989010989,0.6051504007942329,0.6216143973905714,0.5765833342345533,0.6723770725667636,0.6195054945054945,0.6074716820341027,0.6260561196445548,0.5848417077349984,0.6684788849151846,0.6195054945054945,0.614010989010989,0.6074716820341027,0.6051504007942329,0.6260561196445548,0.6216143973905714,0.5734294320539512,0.5769618881070516,0.6663657026862685,0.6695230447496058
24,V_30_MG3,V,30,3,0.30199961759170707,5.634615384615385,5.634615384615385,0.625,0.6134716412817752,0.6302508523315163,0.5900461643647689,0.6621501588643878,0.6277472527472527,0.6166842021361391,0.6345800158712641,0.6077302446445594,0.6600426197147496,0.6112637362637363,0.6020019813384426,0.6188491006869383,0.5767703199820532,0.6721144187920394,0.6222527472527473,0.6104964903827491,0.6289205347676309,0.5858166749374225,0.6674428450545286,0.6222527472527473,0.6112637362637363,0.6104964903827491,0.6020019813384426,0.6289205347676309,0.6188491006869383,0.5744831645434976,0.5770097271368564,0.6653373894311682,0.6692854144592817
25,V_40_MG1,V,40,1,0.4002302951742184,7.293956043956044,7.313186813186813,0.6222527472527473,0.609451573016019,0.6278233234245567,0.5912708840895813,0.6613683548220849,0.6277472527472527,0.616199585525267,0.63475827854594,0.6092791524766893,0.660578916773188,0.6112637362637363,0.6031382974570382,0.618992893422835,0.578044008525027,0.6717118766984608,0.6195054945054945,0.6076880730094995,0.6256544946810466,0.5866775926366284,0.6672364095380324,0.6195054945054945,0.6112637362637363,0.6076880730094995,0.6031382974570382,0.6256544946810466,0.618992893422835,0.5751790607033141,0.5781808915627035,0.6651104096683343,0.6689110067065506
