scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive
21,A_20_Tail,A,20,0.2,Tail,0.5879120879120879,0.5752983667694543,0.5924590097357807,0.647600987844251,0.5643043650181898,0.6116504854368932,0.5,0.621301775147929,0.6191646191646192,0.456575682382134,0.6501547987616099,0.8719019819304202,0.34754180653101724,0.6742426581989379
22,A_30_Head,A,30,0.3,Head,0.5659340659340659,0.5509116327572336,0.5694102146767739,0.6532485940606221,0.5582753855052195,0.5825242718446602,0.46195652173913043,0.6124260355029586,0.5882352941176471,0.43147208121827413,0.6330275229357798,0.8549656814452514,0.35299556698326184,0.6937599460754169
23,A_30_Middle,A,30,0.3,Middle,0.5865384615384616,0.5725819484390398,0.5900893184364855,0.648323221776921,0.5664041258994119,0.6019417475728155,0.4945652173913043,0.6272189349112426,0.6078431372549019,0.4595959595959596,0.6503067484662577,0.8578474228677241,0.34821723919847736,0.6839963441725666
24,A_30_Tail,A,30,0.3,Tail,0.5947802197802198,0.5839036789298329,0.5999906892813196,0.645570924198562,0.5684102153374578,0.6310679611650486,0.5108695652173914,0.6183431952662722,0.6388206388206388,0.46078431372549017,0.6521060842433697,0.8680237668376525,0.34429001662394276,0.6740040644650629
25,A_40_Head,A,40,0.4,Head,0.5728021978021978,0.5585888665014277,0.5762325157505515,0.6525455098189823,0.5597951482146152,0.587378640776699,0.4782608695652174,0.6153846153846154,0.5931372549019608,0.44556962025316454,0.6370597243491577,0.8492528521320195,0.35035626063852204,0.6971641764838314
26,A_40_Middle,A,40,0.4,Middle,0.5824175824175825,0.5695901905640564,0.5865915515311063,0.6479031026240561,0.5687517810303264,0.6019417475728155,0.4945652173913043,0.6183431952662722,0.6108374384236454,0.4538653366583541,0.6440677966101694,0.8500454217484854,0.34857951209920907,0.6876493242718059
27,A_40_Tail,A,40,0.4,Tail,0.5865384615384616,0.5763578799109568,0.5926519953378403,0.6433670721170339,0.5730315878943297,0.5970873786407767,0.5380434782608695,0.606508875739645,0.6089108910891089,0.4714285714285714,0.6487341772151899,0.8596554660753718,0.3429832815233132,0.6750688718620842
28,A_50_Head,A,50,0.5,Head,0.570054945054945,0.55841440742029,0.5745592096063193,0.6501718847961216,0.5654614561565826,0.5922330097087378,0.4945652173913043,0.5976331360946746,0.5965770171149144,0.44938271604938274,0.6292834890965732,0.8383652009793277,0.3448945298466993,0.7016606723019004
29,A_50_Middle,A,50,0.5,Middle,0.5714285714285714,0.55937831884477,0.5764278335208107,0.6482099375001841,0.5697116275794879,0.587378640776699,0.4945652173913043,0.6035502958579881,0.5975308641975309,0.44607843137254904,0.6345256609642301,0.8430087914672292,0.34789327236459305,0.6929723708366854
30,A_50_Tail,A,50,0.5,Tail,0.592032967032967,0.5852757596713593,0.5986999130966457,0.6419559304019088,0.578491914360878,0.616504854368932,0.5706521739130435,0.5887573964497042,0.625615763546798,0.4872389791183295,0.6429725363489499,0.8484551832803244,0.33748069713297096,0.6818511872910537
31,V_10_Head,V,10,0.1,Head,0.5851648351648352,0.5666459073976218,0.5863550222986714,0.6552918016664929,0.5525490417437613,0.587378640776699,0.45108695652173914,0.6568047337278107,0.6080402010050251,0.43799472295514513,0.6539027982326951,0.8834024679313586,0.35740329928534187,0.6784299294403672
32,V_10_Middle,V,10,0.1,Middle,0.5906593406593407,0.5728776769511356,0.5915989423557675,0.6542076719617778,0.553684641948479,0.5970873786407767,0.45652173913043476,0.6597633136094675,0.6180904522613065,0.44562334217506633,0.6549192364170338,0.8797657396463514,0.3582088955799523,0.6778727989180906
33,V_10_Tail,V,10,0.1,Tail,0.592032967032967,0.5754489598545626,0.5937899382925773,0.655217515642417,0.5540175942315623,0.6067961165048543,0.4673913043478261,0.650887573964497,0.6203473945409429,0.450261780104712,0.6557377049180327,0.873349897418786,0.3609527405756323,0.6824644031168441
34,V_20_Head,V,20,0.2,Head,0.5892857142857143,0.5696010005733895,0.5895913096221791,0.6562692169918791,0.5518487087732091,0.5825242718446602,0.45108695652173914,0.6686390532544378,0.6060606060606061,0.44385026737967914,0.6588921282798834,0.8902804571231013,0.35645443391378806,0.6768597632029353
35,V_20_Middle,V,20,0.2,Middle,0.5879120879120879,0.5703348485862502,0.5894489538271682,0.6534448666907438,0.5549263127957967,0.587378640776699,0.46195652173913043,0.6568047337278107,0.6111111111111112,0.44502617801047123,0.6548672566371682,0.8831890964681662,0.3551376784301322,0.6758153143410499
36,V_20_Tail,V,20,0.2,Tail,0.5865384615384616,0.5697146754214226,0.5884989077016395,0.65338839008217,0.5581951219340424,0.587378640776699,0.4673913043478261,0.650887573964497,0.6095717884130982,0.44675324675324674,0.6528189910979229,0.8711150634346656,0.358323164527183,0.6813182918321804
37,V_30_Head,V,30,0.3,Head,0.5934065934065934,0.5725081246458416,0.5937569522604496,0.6574447055521248,0.5499477513159872,0.5970873786407767,0.44021739130434784,0.6745562130177515,0.6165413533834586,0.4343163538873995,0.6666666666666666,0.8971961657833127,0.35624315362909564,0.6752917018426946
38,V_30_Middle,V,30,0.3,Middle,0.592032967032967,0.5739399926637322,0.5938300457545655,0.6531123182132512,0.5567889254484579,0.587378640776699,0.46195652173913043,0.665680473372781,0.6173469387755102,0.4427083333333333,0.6617647058823529,0.8872293404222114,0.353445737865632,0.6735577152810506
39,V_30_Tail,V,30,0.3,Tail,0.5947802197802198,0.5795676766658683,0.5976109375673891,0.653082505410926,0.5606065063031328,0.6067961165048543,0.4782608695652174,0.650887573964497,0.6297229219143576,0.4512820512820513,0.6576980568011959,0.8712713581699769,0.35928060575995757,0.6800429961429193
40,V_40_Head,V,40,0.4,Head,0.592032967032967,0.5723774915632317,0.5925126699210177,0.6576077748335653,0.5497975221092489,0.587378640776699,0.45108695652173914,0.6715976331360947,0.6126582278481013,0.44266666666666665,0.6618075801749271,0.8991532540943438,0.35509645841691806,0.6750743828008513
41,V_40_Middle,V,40,0.4,Middle,0.5934065934065934,0.5773733346157994,0.5960038600819272,0.6530381389433048,0.5577103911509945,0.6019417475728155,0.4673913043478261,0.6568047337278107,0.6310432569974554,0.44329896907216493,0.6577777777777778,0.8888372043599782,0.3538027493607091,0.6722236543497038
42,V_40_Tail,V,40,0.4,Tail,0.5906593406593407,0.5767640877004433,0.5946128003471284,0.6525148851592298,0.5627516715822487,0.6019417475728155,0.483695652173913,0.6420118343195266,0.6294416243654822,0.4472361809045226,0.6536144578313253,0.8744970082658009,0.35887472242440865,0.6770754549321691
43,V_50_Head,V,50,0.5,Head,0.5851648351648352,0.5670843324163871,0.587222542832313,0.657681574635617,0.5503265232869374,0.5728155339805825,0.46195652173913043,0.6597633136094675,0.6051282051282051,0.4392764857881137,0.6568483063328424,0.8993619249645367,0.35266967660383036,0.6764272464406208
44,V_50_Middle,V,50,0.5,Middle,0.5961538461538461,0.5796686728590461,0.5986898753322543,0.6531456187879155,0.5584715080582974,0.6019417475728155,0.47282608695652173,0.6597633136094675,0.6278481012658228,0.4484536082474227,0.662704309063893,0.8911075110285027,0.3527615321800113,0.6716382878242865
45,V_50_Tail,V,50,0.5,Tail,0.5796703296703297,0.5658520470742842,0.5835455127322904,0.651473318144761,0.5639141710281514,0.5825242718446602,0.4782608695652174,0.6331360946745562,0.6138107416879796,0.44110275689223055,0.6426426426426426,0.8749778433115158,0.35551666707286367,0.6763670803130378
46,T+A_10_Head,T+A,10,0.1,Head,0.5068681318681318,0.49941165094301293,0.5153033533347031,0.6929228377866221,0.46074762313176526,0.38349514563106796,0.5978260869565217,0.5325443786982249,0.4891640866873065,0.4330708661417323,0.576,0.9945193402903173,0.22432552026989666,0.7642039824828241
47,T+A_10_Middle,T+A,10,0.1,Middle,0.5782967032967034,0.5639864687293682,0.5817170723244411,0.6546177173463198,0.5520086914668424,0.5631067961165048,0.4945652173913043,0.6331360946745562,0.5933503836317136,0.455,0.643609022556391,0.8776276322461448,0.33603524015811476,0.6921299461429641
48,T+A_10_Tail,T+A,10,0.1,Tail,0.5851648351648352,0.5689386728208805,0.5884634699704535,0.6514365195429751,0.5567019387286087,0.5922330097087378,0.47282608695652173,0.6420118343195266,0.6084788029925187,0.44274809160305345,0.6555891238670695,0.8802289419165514,0.3450465500354767,0.6787871567631615
49,T+A_20_Head,T+A,20,0.2,Head,0.4725274725274725,0.4620053602928504,0.47764185354604555,0.6989713935693215,0.44664808029716746,0.3058252427184466,0.6467391304347826,0.47928994082840237,0.4144736842105263,0.42882882882882883,0.542713567839196,1.0000863421382835,0.2046483741344317,0.7845505538380005
50,T+A_20_Middle,T+A,20,0.2,Middle,0.5686813186813187,0.5554842022941332,0.5734387507994299,0.65404873310619,0.5527262967094706,0.5242718446601942,0.5217391304347826,0.621301775147929,0.5699208443271768,0.45823389021479716,0.6382978723404256,0.878794060387079,0.3166481509966695,0.700747459994618
51,T+A_20_Tail,T+A,20,0.2,Tail,0.5824175824175825,0.5700293716673769,0.5887095141153792,0.6528405989059708,0.5561852394694932,0.5825242718446602,0.5108695652173914,0.621301775147929,0.6060606060606061,0.45083932853717024,0.6531881804043546,0.8873653401738232,0.32679548381787277,0.6873974168794394
52,T+A_30_Head,T+A,30,0.3,Head,0.4368131868131868,0.4208087275613986,0.43364185751890966,0.7066184241160914,0.4273970907584061,0.23300970873786409,0.7065217391304348,0.41420118343195267,0.3404255319148936,0.429042904290429,0.49295774647887325,1.0053554157030236,0.1851343679768236,0.808432761579752
53,T+A_30_Middle,T+A,30,0.3,Middle,0.5590659340659341,0.5502891792569355,0.5662314204042515,0.6561209118444022,0.5512348035464981,0.5194174757281553,0.5434782608695652,0.591715976331361,0.5752688172043011,0.45351473922902497,0.6220839813374806,0.881870733519781,0.2971617422754998,0.7139434678667396
54,T+A_30_Tail,T+A,30,0.3,Tail,0.5782967032967034,0.5688175129167377,0.5861953424771535,0.6565974552880277,0.5553831857225963,0.5485436893203883,0.5597826086956522,0.606508875739645,0.5916230366492147,0.4671201814058957,0.6477093206951027,0.8935443604166068,0.3085885244300184,0.7016346766530762
55,T+A_40_Head,T+A,40,0.4,Head,0.3983516483516483,0.36977614353292715,0.3803552401456698,0.7135060847849473,0.404987059454759,0.1553398058252427,0.7608695652173914,0.34911242603550297,0.24334600760456274,0.42813455657492355,0.437847866419295,1.0124634462001834,0.16419098890669967,0.8303367391934057
56,T+A_40_Middle,T+A,40,0.4,Middle,0.5398351648351648,0.5308643778691755,0.5469314270203952,0.6602530463772652,0.5482945801883056,0.45145631067961167,0.5869565217391305,0.5680473372781065,0.5254237288135594,0.4595744680851064,0.6075949367088608,0.88536426902396,0.28120759745006974,0.729399350334025
57,T+A_40_Tail,T+A,40,0.4,Tail,0.5508241758241759,0.5448026535003065,0.5614231038663255,0.6587535402645449,0.5553294942299494,0.49514563106796117,0.5869565217391305,0.5650887573964497,0.5604395604395604,0.4528301886792453,0.6211382113821138,0.8943406037479928,0.29074577748289576,0.7155064789457082
58,T+A_50_Head,T+A,50,0.5,Head,0.3873626373626374,0.35180488149543865,0.3611619908362614,0.7234552856637063,0.3789803471901797,0.1262135922330097,0.8097826086956522,0.3165680473372781,0.20967741935483872,0.42939481268011526,0.4163424124513619,1.0148232069264338,0.14250225946307182,0.8621344721749337
59,T+A_50_Middle,T+A,50,0.5,Middle,0.510989010989011,0.5039739645531575,0.5190891394380379,0.6680553946848754,0.5399409907787039,0.39805825242718446,0.6141304347826086,0.5236686390532544,0.48955223880597015,0.4448818897637795,0.5774877650897227,0.8905785460278247,0.26147655430047406,0.7537676356732845
60,T+A_50_Tail,T+A,50,0.5,Tail,0.5233516483516484,0.5203003274246359,0.5347687679826101,0.6624683879193042,0.5544230085168577,0.4320388349514563,0.6358695652173914,0.5177514792899408,0.5235294117647059,0.4491362763915547,0.5882352941176471,0.8937568997295158,0.2653978520437427,0.7376623085352796
61,T+V_10_Head,T+V,10,0.1,Head,0.5068681318681318,0.49759102313281883,0.5134464005538752,0.693870766200944,0.4579966811936721,0.3737864077669903,0.6032608695652174,0.5355029585798816,0.47678018575851394,0.44047619047619047,0.575516693163752,1.0090640419461194,0.2256788574564068,0.7566444242053484
62,T+V_10_Middle,T+V,10,0.1,Middle,0.5769230769230769,0.5609484427578049,0.5801184319283672,0.6559282393286844,0.5477465161918267,0.5533980582524272,0.4782608695652174,0.6449704142011834,0.59375,0.44221105527638194,0.6468842729970327,0.8869178227863266,0.34000186464222876,0.6871311942104404
