scenario_id,scenario,modality_combination,missing_rate_percent,replicate,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,q2b_raw_accuracy,q2b_raw_macro_f1,q2b_raw_weighted_f1,q2b_raw_mae,q2b_raw_pearson,r2_raw_accuracy,r2_raw_macro_f1,r2_raw_weighted_f1,r2_raw_mae,r2_raw_pearson,q2b_cal_oof_accuracy,q2b_cal_oof_macro_f1,q2b_cal_oof_weighted_f1,q2b_cal_oof_mae,q2b_cal_oof_pearson,r2_cal_oof_accuracy,r2_cal_oof_macro_f1,r2_cal_oof_weighted_f1,r2_cal_oof_mae,r2_cal_oof_pearson
24,V_30_MG3,V,30,3,0.30199961759170707,5.634615384615385,5.634615384615385,0.6208791208791209,0.6107205608325633,0.6281297786982664,0.5898681116996558,0.6514096180272829,0.625,0.6134716412817752,0.6302508523315163,0.5900461643647689,0.6621501588643878,0.6208791208791209,0.6107205608325633,0.6281297786982664,0.5851956542557576,0.6504713358075451,0.625,0.6134716412817752,0.6302508523315163,0.5760184664755732,0.660455927368455
25,V_40_MG1,V,40,1,0.4002302951742184,7.293956043956044,7.313186813186813,0.6236263736263736,0.6120080511130156,0.6308897241132303,0.5912734506917852,0.652399460439962,0.6222527472527473,0.609451573016019,0.6278233234245567,0.5912708840895813,0.6613683548220849,0.6236263736263736,0.6120080511130156,0.6308897241132303,0.5857722391070246,0.6515577298632574,0.6222527472527473,0.609451573016019,0.6278233234245567,0.5767743570013688,0.6596815447539948
26,V_40_MG2,V,40,2,0.4002302951742184,7.434065934065934,7.446428571428571,0.6167582417582418,0.6059073981152728,0.6247825392058107,0.5917377683364755,0.6507390388352953,0.6236263736263736,0.6111360413139191,0.628863802513655,0.5921684463641473,0.6603013951969272,0.6167582417582418,0.6059073981152728,0.6247825392058107,0.5864414780179223,0.6498348818436057,0.6236263736263736,0.6111360413139191,0.628863802513655,0.57779643620567,0.6586129836539237
27,V_40_MG3,V,40,3,0.4002302951742184,7.306318681318682,7.321428571428571,0.6236263736263736,0.6130060524276536,0.6313813307096643,0.5900497144436115,0.6535428257767643,0.6181318681318682,0.6056069530919,0.6237675976309895,0.5880862623657827,0.6635768222370393,0.6236263736263736,0.6130060524276536,0.6313813307096643,0.5845395247022529,0.6526702698540479,0.6181318681318682,0.6056069530919,0.6237675976309895,0.5746299762000422,0.6618913899037331
28,V_50_MG1,V,50,1,0.512593395480767,8.787087912087912,9.364010989010989,0.6236263736263736,0.6119574400467033,0.6314308660049527,0.5931419648516637,0.651482420862037,0.6236263736263736,0.6104985399139925,0.6285293373972193,0.5889844293654948,0.6611912898717979,0.6236263736263736,0.6119574400467033,0.6314308660049527,0.5869650764265558,0.6505868366860396,0.6236263736263736,0.6104985399139925,0.6285293373972193,0.5755838088854984,0.6595391284262025
29,V_50_MG2,V,50,2,0.512593395480767,8.743131868131869,9.248626373626374,0.625,0.613822232207117,0.6329422886917504,0.5928548569739848,0.6517400454284832,0.6181318681318682,0.6067196876347843,0.6229257553517402,0.589217010946883,0.6614504589922514,0.625,0.613822232207117,0.6329422886917504,0.5867512655408827,0.6508227449957525,0.6181318681318682,0.6067196876347843,0.6229257553517402,0.5755958277524172,0.6597399810226462
30,V_50_MG3,V,50,3,0.512593395480767,8.744505494505495,9.24587912087912,0.6195054945054945,0.6087309151772594,0.6276660052295614,0.5938370502298023,0.6521422141106,0.6181318681318682,0.6070493357798812,0.6234179977712412,0.5891236252878066,0.6610670856113764,0.6195054945054945,0.6087309151772594,0.6276660052295614,0.5871097731976718,0.6513041012479652,0.6181318681318682,0.6070493357798812,0.6234179977712412,0.5762907521714875,0.6593910987400715
31,A+V_10_MG1,A+V,10,1,0.10534294452739595,2.0934065934065935,2.0934065934065935,0.6085164835164835,0.6007401653662532,0.6157847904344028,0.5857647105764884,0.6504919802531647,0.6208791208791209,0.6100227351435076,0.6271617142781379,0.5897292147011874,0.6631518894059504,0.6085164835164835,0.6007401653662532,0.6157847904344028,0.5842880445875964,0.6494849176121357,0.6208791208791209,0.6100227351435076,0.6271617142781379,0.5748496355787738,0.6614152256152581
32,A+V_10_MG2,A+V,10,2,0.10534294452739595,2.129120879120879,2.129120879120879,0.6112637362637363,0.6033140388454262,0.6191396669276445,0.5853000481582278,0.6499356686279212,0.6222527472527473,0.6110300197275174,0.6292121747266666,0.5899435770749063,0.663620769559938,0.6112637362637363,0.6033140388454262,0.6191396669276445,0.5840079338380268,0.6488990756970503,0.6222527472527473,0.6110300197275174,0.6292121747266666,0.5745630337893963,0.661846573446095
33,A+V_10_MG3,A+V,10,3,0.10534294452739595,2.10989010989011,2.10989010989011,0.6098901098901099,0.6023412524290103,0.6175090134274928,0.585066356194707,0.6500079433719496,0.6222527472527473,0.6105403010946389,0.6287417563066003,0.5877629992767022,0.6640092882974081,0.6098901098901099,0.6023412524290103,0.6175090134274928,0.5834412523832295,0.6489503907528876,0.6222527472527473,0.6105403010946389,0.6287417563066003,0.5731295537727547,0.6622856802287356
