sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,phi_A_cls,phi_A_reg,phi_V_cls,phi_V_reg,cls_efficiency_residual,reg_efficiency_residual
103,247318$_$6,zero,1.6839599609375,-0.36490071614583336,-0.1298828125,0.03995768229166667,0.2113037109375,-0.13618977864583334,0.0,0.0
104,252998$_$1,zero,1.7215728759765625,-0.19290364583333328,-0.051071166992187486,0.06871744791666669,0.13125610351562503,-0.49178059895833337,0.0,0.0
105,252998$_$0,zero,1.6521809895833333,-0.23824869791666664,-0.08671061197916667,-0.00792643229166666,-0.017374674479166657,-0.21622721354166669,2.220446049250313e-16,0.0
106,252998$_$5,zero,6.214029947916667,-2.1919921875000004,-0.07722981770833333,-0.00839843749999998,0.38566080729166663,-0.10234374999999997,8.881784197001252e-16,4.440892098500626e-16
107,252998$_$4,zero,3.207204182942708,-1.0382975260416667,-0.09839884440104167,-0.11722819010416664,0.6378682454427084,-0.2694742838541667,0.0,2.220446049250313e-16
108,252998$_$7,zero,0.5039469401041666,0.4539876302083333,-0.05934651692708333,-0.11871744791666669,-0.6839803059895833,-0.5458170572916667,5.551115123125783e-17,1.1102230246251565e-16
109,252998$_$8,zero,3.4336751302083335,-1.1856119791666668,-0.04166666666666667,-0.006217447916666646,0.5517171223958333,-0.24684244791666665,0.0,0.0
110,257247$_$10,zero,5.136311848958334,-1.4597981770833335,-0.23111979166666669,0.09186197916666669,0.3384602864583333,-0.2390950520833333,0.0,2.220446049250313e-16
111,257247$_$12,zero,5.669921875,-1.9070312500000002,-0.369873046875,0.1484375,0.250732421875,-0.19687500000000002,0.0,0.0
112,257247$_$2,zero,1.2939046223958335,-0.38395996093749996,-0.19254557291666666,0.09653320312500001,0.6955159505208334,-0.2339111328125,0.0,0.0
113,258654$_$1,zero,5.669921875,-1.9609375,-0.322509765625,0.08691406249999999,0.195068359375,-0.1447265625,0.0,4.440892098500626e-16
114,258654$_$3,zero,4.909993489583333,-1.8374348958333335,-0.3937174479166667,0.1127604166666667,0.19954427083333331,-0.1550130208333333,8.881784197001252e-16,0.0
115,258654$_$4,zero,2.1978556315104165,-0.5950249989827474,0.09452311197916666,-0.0127820332845052,-0.3604939778645833,0.0869574228922526,2.220446049250313e-16,0.0
116,266791$_$24,zero,4.7575429280598955,-1.43203125,0.10342915852864584,-0.060449218750000075,0.8294576009114584,-0.51611328125,8.881784197001252e-16,0.0
117,266791$_$20,zero,1.2248738606770833,0.623828125,0.014821370442708336,-0.08085937499999996,-1.3380228678385415,-0.771484375,0.0,0.0
118,266791$_$21,zero,4.501993815104167,-1.21572265625,0.059916178385416664,-0.042871093750000026,0.9043986002604167,-0.58046875,8.881784197001252e-16,0.0
119,266791$_$23,zero,0.018758138020833336,0.17311197916666668,-0.26767985026041663,-0.035042317708333305,0.7545369466145834,-0.6477864583333333,1.1102230246251565e-16,1.1102230246251565e-16
120,266791$_$29,zero,2.0966796875,-0.24469401041666672,-0.0599365234375,0.0045735677083333336,0.0938720703125,-0.2335123697916667,0.0,5.551115123125783e-17
121,266791$_$3,zero,1.4452565511067708,-0.2703582763671875,0.23637898763020831,-0.11661529541015625,1.1189015706380208,-0.4891983032226563,0.0,0.0
