scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score
37,V_30_Head,V,30,0.3,Head,0.6112637362637363,0.5913117173996092,0.6119165364942801,0.8538415386945337,0.44893432213530443,0.6359223300970874,0.46195652173913043,0.6775147928994083,0.6343825665859564,0.45698924731182794,0.6825633383010432,0.953166252020204,0.8058754344592276,0.8194180837661557,0.5917239823917846
38,V_30_Middle,V,30,0.3,Middle,0.6098901098901099,0.5898724692922922,0.6104894386870198,0.8537900458898519,0.44694386142034076,0.6359223300970874,0.45652173913043476,0.6775147928994083,0.6374695863746959,0.45161290322580644,0.6805349182763745,0.9533835380039748,0.8033672393421116,0.8205401554439195,0.5905274396598648
39,V_30_Tail,V,30,0.3,Tail,0.6085164835164835,0.5894443830969046,0.6092669684031207,0.8576399385826764,0.4417208952698801,0.6407766990291263,0.45652173913043476,0.6715976331360947,0.6423357664233577,0.450402144772118,0.6755952380952381,0.9542468138834805,0.7990630406319447,0.8306492075500403,0.5884504455889273
40,V_40_Head,V,40,0.4,Head,0.6112637362637363,0.591349958064927,0.612207568550852,0.8556288352932085,0.4469147654563484,0.6359223300970874,0.46195652173913043,0.6775147928994083,0.6359223300970874,0.45454545454545453,0.6835820895522388,0.9537837629034681,0.8080844083072051,0.8216887745763776,0.5910797120051522
41,V_40_Middle,V,40,0.4,Middle,0.6098901098901099,0.5899040663908439,0.6107954308863727,0.8526387148854006,0.4470645749477397,0.6310679611650486,0.46195652173913043,0.6775147928994083,0.6326034063260341,0.45454545454545453,0.6825633383010432,0.9537938903402357,0.8019687477904169,0.8185715782042791,0.5906614615667234
42,V_40_Tail,V,40,0.4,Tail,0.6043956043956044,0.5854755008009502,0.6051809460548229,0.8580692887899803,0.4399814307105881,0.6359223300970874,0.45652173913043476,0.665680473372781,0.6343825665859564,0.450402144772118,0.6716417910447762,0.9535451826178333,0.7981906241696813,0.8324765082029901,0.585957359910954
43,V_50_Head,V,50,0.5,Head,0.6126373626373627,0.5929992937075653,0.6138911095274964,0.8549401952506421,0.445929885810175,0.6359223300970874,0.4673913043478261,0.6775147928994083,0.6359223300970874,0.4574468085106383,0.6856287425149701,0.9548796327802741,0.8046343273928632,0.8214158034007225,0.5916466192678889
44,V_50_Middle,V,50,0.5,Middle,0.6112637362637363,0.5914165811550516,0.6120425798874796,0.8540337656696255,0.4450075152128928,0.6359223300970874,0.46195652173913043,0.6775147928994083,0.6359223300970874,0.45576407506702415,0.6825633383010432,0.9568942839514862,0.8052112634253242,0.8179215575243242,0.5907524776854514
45,V_50_Tail,V,50,0.5,Tail,0.6071428571428571,0.5884948315568111,0.6084233332151926,0.8569863930262707,0.4394494350761173,0.6407766990291263,0.46195652173913043,0.665680473372781,0.6376811594202898,0.4521276595744681,0.6756756756756757,0.9548698976563598,0.7939525659236571,0.8316438552543256,0.5873562481917571
46,T+A_10_Head,T+A,10,0.1,Head,0.6016483516483516,0.5810231599390124,0.602145653981456,0.8628526347290192,0.4405931962594116,0.6407766990291263,0.44021739130434784,0.665680473372781,0.631578947368421,0.43783783783783786,0.6736526946107785,1.0532239706626216,0.8142849866138853,0.7732666940510978,0.5839117907342757
47,T+A_10_Middle,T+A,10,0.1,Middle,0.603021978021978,0.5857685454686873,0.6054905217317254,0.8559896202635143,0.4254016970434828,0.6407766990291263,0.46195652173913043,0.6568047337278107,0.6439024390243903,0.4427083333333333,0.6706948640483383,0.9420754215454014,0.7588357743604676,0.85641161015136,0.5822155867782441
