sample_index,sample_id,baseline,main_modality,ratio,k,RandomComp_cls_mean,RandomComp_reg_mean,RandomSuff_cls_mean,RandomSuff_reg_mean
19,102858$_$0,missing,T,0.2,1,0.531396453125,0.09922851562499999,0.8845214531250001,0.145927734375
19,102858$_$0,missing,T,0.3,1,0.44472653125,0.08666015625,0.9613280937500001,0.15626953125
20,102858$_$4,missing,T,0.1,5,0.2655517265625001,0.08979980468750003,3.7568847343750007,1.5814453125
20,102858$_$4,missing,T,0.2,10,0.5502563164062501,0.16785156250000005,2.9320556328125007,1.242861328125
20,102858$_$4,missing,T,0.3,15,0.9069335625000001,0.26348632812500006,2.241619841796876,0.7495166015625
21,102858$_$6,missing,V,0.1,3,0.010241692656250013,0.01853515625000001,0.4710342341601563,0.37215332031250004
21,102858$_$6,missing,V,0.2,6,0.013824456328125012,0.02998046875,0.32781371414062505,0.267296142578125
21,102858$_$6,missing,V,0.3,8,0.025164788359375013,0.04415039062500001,0.24315184890625002,0.2058600997924805
22,102858$_$10,missing,T,0.1,1,0.23726806015625002,0.09050781249999998,4.624066155859374,1.3601550292968754
22,102858$_$10,missing,T,0.2,2,0.789239495703125,0.306240234375,3.595330804296875,1.1318625259399413
22,102858$_$10,missing,T,0.3,3,1.0304809507812496,0.38990234374999994,3.1298339781250006,1.024842071533203
23,102858$_$17,missing,T,0.1,1,0.43115077849609384,0.11000000000000001,3.2369277560351555,0.42428466796875003
23,102858$_$17,missing,T,0.2,2,0.8055816256640627,0.16601074218750003,3.096617087089843,0.45972412109375005
23,102858$_$17,missing,T,0.3,3,0.7384978854296878,0.22014648437500006,3.0514113986132805,0.46197998046875
24,102858$_$19,missing,T,0.1,2,-0.1183090291210938,0.09626281738281252,0.6747634968945311,0.22184692382812501
24,102858$_$19,missing,T,0.2,3,-0.1494217000195313,0.13098194122314455,0.5746292195507812,0.22143066406249998
24,102858$_$19,missing,T,0.3,4,-0.21919384815185552,0.16275175094604494,0.5384124837109374,0.2052999877929688
25,112433$_$10,missing,A,0.1,1,-0.08459850377500011,0.03330078125000001,0.0002441031402344862,0.0001953124999999993
25,112433$_$10,missing,A,0.2,1,-0.08459850377500011,0.03330078125000001,0.0002441031402344862,0.0001953124999999993
25,112433$_$10,missing,A,0.3,1,-0.08459850377500011,0.03330078125000001,0.0002441031402344862,0.0001953124999999993
26,112433$_$3,missing,T,0.1,4,0.1322784273828126,0.10260848999023438,1.745787033339844,0.19852905273437502
26,112433$_$3,missing,T,0.2,7,0.2747634737695314,0.11120544433593751,1.5147354005976559,0.19201660156250003
26,112433$_$3,missing,T,0.3,10,0.4871627657617189,0.10229915142059327,1.1617980852031249,0.15829589843749997
27,112433$_$7,missing,T,0.1,1,0.19310910335937495,0.12310546875000006,3.835768099941407,0.7390432739257813
27,112433$_$7,missing,T,0.2,2,0.3961030685083006,0.19851562500000003,3.483763095058594,0.6978381347656251
27,112433$_$7,missing,T,0.3,3,1.246522494472656,0.38200683593750007,2.266539903797302,0.5366744995117188
28,112433$_$6,missing,T,0.1,3,0.2170898687500003,0.1049609374999999,4.368421961035158,1.4168676757812502
28,112433$_$6,missing,T,0.2,5,0.2841064703125003,0.1341406249999999,3.8770935308593764,1.2683691406250002
28,112433$_$6,missing,T,0.3,8,0.7702270757812503,0.29383789062499993,2.4410599004882814,0.8382934570312498
29,117tQqLjza4$_$6,missing,T,0.1,2,0.12390135468749994,0.02796874999999998,1.0269775265625,0.17640624999999993
29,117tQqLjza4$_$6,missing,T,0.2,3,0.20190428437499994,0.04193359374999998,0.9443603390625,0.16520019531249996
29,117tQqLjza4$_$6,missing,T,0.3,5,0.37385252656249995,0.06889648437499996,0.7321044796875,0.13098632812499997
30,11j7EfglCAs$_$2,missing,T,0.1,3,-0.22746584531249994,0.04343261718750001,1.6079176199096676,0.20044845581054688
30,11j7EfglCAs$_$2,missing,T,0.2,5,-0.33791506406249994,0.06053710937500001,1.450237680639648,0.16799832344055177
30,11j7EfglCAs$_$2,missing,T,0.3,8,-0.5720703374999999,0.08910400390625002,1.217532373632812,0.14154785156250005
