sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
609,mLW-jn67gRE$_$17,missing,3.727737426757813,1.3504882812500003,0.8072330161247688,0.7951356945722171,0.801184355348493,0.170867919921875,0.0021484375,0.037001057361882105,0.0012649494020239187,0.01913300338195301,0.7193145751953125,0.3458007812500001,0.1557659265133492,0.20359935602575896,0.17968264126955408,T,True,False
610,mLW-jn67gRE$_$1,missing,-0.9292551676432292,0.0279173533121744,0.5523478692013738,0.15351005379644578,0.3529289614989098,-0.7346903483072916,-0.0435853322347005,0.43669883422822037,0.23966407636382459,0.3381814552960225,-0.0184275309244791,-0.1103574117024739,0.010953296570405802,0.6068258698397295,0.30888958320506765,T,True,True
611,mLW-jn67gRE$_$3,missing,0.0787150065104166,0.3299763997395833,0.08802784856206765,0.7163616126638637,0.4021947306129657,-0.5829671223958334,-0.1218668619791666,0.6519384783400074,0.2645666230875234,0.45825255071376536,0.2325236002604166,0.0087849934895833,0.26003367309792497,0.01907176424861306,0.13955271867326902,A,False,False
612,mLW-jn67gRE$_$5,missing,-0.79656982421875,0.3820393880208333,0.44963136498311856,0.7239682931342917,0.5867998290587051,-0.8917846679687501,-0.0836100260416666,0.503376283332185,0.15844179877860703,0.330909041055396,0.0832519531249999,-0.0620524088541666,0.046992351684696426,0.11758990808710125,0.08229112988589884,T,True,True
613,mLW-jn67gRE$_$6,missing,0.819671630859375,0.4380859374999999,0.49624018475750575,0.5436257876878333,0.5199329862226696,-0.018035888671875,0.0248046874999999,0.01091916859122402,0.03078041686863779,0.020849792729930906,-0.814056396484375,0.34296875,0.4928406466512702,0.42559379544352893,0.4592172210473996,T,True,True
614,mLW-jn67gRE$_$9,missing,-2.292867024739583,-0.0379842122395833,0.8340660153937239,0.3027011251986122,0.568383570296168,-0.4529622395833333,0.0031778971354166,0.16477205447010065,0.025325075391549157,0.0950485649308249,-0.0031941731770833,-0.0843221028645833,0.0011619301361752395,0.6719737994098387,0.336567864773007,T,True,True
615,mjpCK2Edsv8$_$0,missing,6.823567708333333,2.5743489583333337,0.8088127483890882,0.7834442859407197,0.796128517164904,0.8660481770833333,0.3595052083333333,0.10265462823629277,0.10940719606910762,0.10603091215270019,0.7469075520833334,0.3520833333333333,0.08853262337461898,0.10714851799017275,0.09784057068239586,T,True,True
616,nUZYqTRSGDw$_$4,missing,4.7520599365234375,-1.1023874918619792,0.9672911710077586,0.7938488473456352,0.8805700091766969,0.051300048828125,0.1588521321614583,0.010442226101216914,0.11439224677864786,0.06241723643993238,-0.1093902587890625,0.1274220784505208,0.022266602891024407,0.09175890587571696,0.05701275438337068,T,True,True
617,nyzIL6YAonY$_$5,missing,4.88336181640625,0.8788370768229167,0.890453189689712,0.8598049363057326,0.8751290629977223,0.34161376953125,0.0926798502604166,0.06229132350977162,0.0906727707006369,0.07648204710520426,0.2591552734374999,-0.0506184895833333,0.04725548680051638,0.04952229299363055,0.04838888989707346,T,True,True
618,nyzIL6YAonY$_$6,missing,4.138916015625,1.6580729166666668,0.8331531354432868,0.8312010443864231,0.832177089914855,0.0292968749999999,-0.0661458333333333,0.005897385492431668,0.0331592689295039,0.019528327210967786,0.7995605468749999,0.2705729166666666,0.16094947906428148,0.13563968668407309,0.1482945828741773,T,True,True
