sample_index,sample_id,baseline,main_modality,TEXT_MISSING_OOD_CAUTION,ratio,n_candidates,k,M_full,y_attr_full,CompTopK_cls,CompTopK_reg,RandomComp_cls_mean,RandomComp_reg_mean,GainComp_cls,GainComp_reg,SuffTopK_cls,SuffTopK_reg,RandomSuff_cls_mean,RandomSuff_reg_mean,GainSuff_cls,GainSuff_reg,F_comp_cls,F_comp_reg,F_suff_cls,F_suff_reg,FaithfulnessScore_ratio
346,JVpF99zuQhA$_$0,missing,T,True,0.1,22,3,0.30078130000000014,0.25553385913372034,-0.27490229374999986,0.09775390625,-0.25959467656249985,0.07910156249999997,-0.015307617187500011,0.018652343750000022,1.3166503406249999,0.2946044921875,1.3567866779052733,0.3155010986328125,0.04013633728027344,0.020896606445312493,-0.0508926794811397,0.003108723958333337,0.13343982435227547,0.0034827677408854154,0.02228465914258863
346,JVpF99zuQhA$_$0,missing,T,True,0.2,22,5,0.30078130000000014,0.25553385913372034,-0.5205077624999999,0.16923828125,-0.36950678593749975,0.1120556640625,-0.1510009765625001,0.05718261718750001,0.9992675281249999,0.2427459716796875,1.2183225131713864,0.2912442016601563,0.21905498504638654,0.04849822998046879,-0.5020274682469682,0.009530436197916667,0.7282841611570443,0.008083038330078132,0.06096754185951772
346,JVpF99zuQhA$_$0,missing,T,True,0.3,22,7,0.30078130000000014,0.25553385913372034,-0.7080077624999999,0.219921875,-0.5638427234374997,0.15734130859375,-0.1441650390625001,0.06258056640624998,0.7873534656249999,0.203466796875,0.9830199695312498,0.2597485065460205,0.19566650390624996,0.0562817096710205,-0.4793002748582615,0.010430094401041664,0.6505253264778209,0.009380284945170084,0.047758857741442784
347,JVpF99zuQhA$_$2,missing,T,True,0.1,27,3,1.2756348199999998,0.03310954272747034,0.13305669499999984,0.011791992187500003,-0.11283563898437517,0.019162559509277345,0.245892333984375,-0.007370567321777342,0.17785639093750016,0.12235107421875001,0.5543136052929688,0.0747283935546875,0.37645721435546864,-0.047622680664062514,0.19276060622409855,-0.0012284278869628903,0.2951133924378736,-0.00793711344401042,0.1196771143327497
347,JVpF99zuQhA$_$2,missing,T,True,0.2,27,6,1.2756348199999998,0.03310954272747034,0.15991216374999984,0.008654785156250004,-0.20801386164062521,0.033093128204345706,0.367926025390625,-0.024438343048095702,0.18383783625000016,0.12103271484375001,0.5078425817333985,0.06140869140624999,0.3240047454833983,-0.05962402343750002,0.28842559892260244,-0.004073057174682617,0.2539947063288003,-0.009937337239583337,0.1321024777092842
347,JVpF99zuQhA$_$2,missing,T,True,0.3,27,9,1.2756348199999998,0.03310954272747034,0.18066411687499984,0.006848144531250003,-0.21371454523437522,0.03647354125976563,0.39437866210937506,-0.029625396728515628,0.6597899846875002,0.07996826171875,0.49359087274902347,0.060760498046875,-0.1661991119384767,-0.019207763671875003,0.30916242388785786,-0.004937566121419271,-0.1302872726939235,-0.0032012939453125006,0.04268407278180065
348,JVpF99zuQhA$_$4,missing,T,True,0.1,15,2,1.4243164400000001,0.05028483569622034,0.20922854937500013,0.010571289062499996,-0.02138668499999987,0.02278226852416992,0.230615234375,-0.012210979461669925,0.5987548490624999,0.0998291015625,0.3404477735620116,0.07657455444335938,-0.25830707550048826,-0.023254547119140614,0.16191280672305747,-0.0020351632436116543,-0.18135499028958618,-0.0038757578531901024,-0.0063382761658326205
348,JVpF99zuQhA$_$4,missing,T,True,0.2,15,3,1.4243164400000001,0.05028483569622034,0.19921878375000013,0.020166015625,-0.04357906781249987,0.030879821777343754,0.2427978515625,-0.010713806152343755,0.6472167631249999,0.0937744140625,0.39018515549713123,0.07968147277832031,-0.25703160762786864,-0.014092941284179691,0.1704661087085334,-0.001785634358723959,-0.1804594961835675,-0.0023488235473632818,-0.003531961345280329
348,JVpF99zuQhA$_$4,missing,T,True,0.3,15,5,1.4243164400000001,0.05028483569622034,0.12255862750000013,0.0548095703125,-0.11019283734374988,0.048986892700195316,0.23275146484375,0.0058226776123046844,0.6313476224999999,0.076513671875,0.32601925335937487,0.07936401367187498,-0.305328369140625,0.002850341796874989,0.1634126342255207,0.0009704462687174474,-0.2143682023163495,0.0004750569661458315,-0.012377516213991385
349,K0m1tO3Ybyc$_$15,missing,V,False,0.1,14,2,0.9665527700000001,0.5524088591337203,0.25610355125000006,0.10781249999999998,0.08216556296875006,0.04363281249999995,0.17393798828125,0.06417968750000003,0.22729495750000006,0.13945312499999996,0.4240478871875,0.2071289062499999,0.19675292968749997,0.06767578124999996,0.17995686704656896,0.010696614583333338,0.20356128732238038,0.011279296874999992,0.10137351645682068
349,K0m1tO3Ybyc$_$15,missing,V,False,0.2,14,3,0.9665527700000001,0.5524088591337203,0.28833011375000006,0.13203124999999993,0.09011234031250007,0.05320312499999994,0.1982177734375,0.078828125,0.12573245750000006,0.10429687499999996,0.3570068715625,0.18675781249999993,0.23127441406249993,0.08246093749999997,0.20507681992435867,0.013138020833333333,0.23927733897566808,0.013743489583333329,0.11780891732917335
349,K0m1tO3Ybyc$_$15,missing,V,False,0.3,14,5,0.9665527700000001,0.5524088591337203,0.34692386375000006,0.16289062499999996,0.09141849265625006,0.07017578124999994,0.25550537109375,0.09271484375000001,0.02905277000000006,0.06953124999999993,0.2876709340625,0.15923828124999995,0.25861816406249993,0.08970703125000001,0.2643467741000586,0.015452473958333336,0.2675672808792623,0.014951171875000002,0.14057942520316352
350,K0m1tO3Ybyc$_$8,missing,V,False,0.1,32,4,0.84484865,0.5231119841337203,0.02734376718749998,0.012890624999999933,-0.04065550039062502,0.012656250000000025,0.067999267578125,0.00023437499999990827,0.358764665625,0.1640624999999999,0.4613662891601562,0.20321289062499998,0.10260162353515623,0.03915039062500009,0.08048682694977147,3.9062499999984714e-05,0.12144364803270763,0.006525065104166681,0.05212365064666144
350,K0m1tO3Ybyc$_$8,missing,V,False,0.2,32,7,0.84484865,0.5231119841337203,-0.05041502187500002,0.017187500000000022,-0.06560667226562504,0.01824218750000004,0.01519165039062502,-0.0010546875000000192,0.313995378515625,0.14882812499999998,0.2372940235351563,0.11691406249999994,-0.07670135498046868,-0.031914062500000034,0.017981483913291577,-0.0001757812500000032,-0.09078698793385152,-0.005319010416666672,-0.019575073921806654
350,K0m1tO3Ybyc$_$8,missing,V,False,0.3,32,10,0.84484865,0.5231119841337203,-0.08654783437500002,0.03281250000000002,-0.07091673085937504,0.01984375000000004,-0.01563110351562498,0.012968749999999984,0.18017579843749998,0.09843749999999996,0.08089600812499997,0.051152343749999926,-0.0992797903125,-0.04728515625000003,-0.01850163933384476,0.0021614583333333308,-0.11751178486314104,-0.007880859375000005,-0.035433206309663116
351,K8gp7ncdUl8$_$5,missing,T,True,0.1,35,4,1.24890137,-0.5014973908662798,2.576293948125,0.64130859375,0.48477936072265637,0.119158935546875,2.0915145874023438,0.5221496582031251,1.69592284875,0.926171875,1.1353637714999998,0.26091796875,-0.5605590772500002,-0.66525390625,1.6746822150736602,0.08702494303385418,-0.4488413912209969,-0.11087565104166668,0.3004975289612127
351,K8gp7ncdUl8$_$5,missing,T,True,0.2,35,7,1.24890137,-0.5014973908662798,2.6951904325,0.6936523437500001,0.6787521390429688,0.16381195068359378,2.016438293457031,0.5298403930664063,1.6329345675,0.8488281249999999,1.54476318528125,0.261279296875,-0.08817138221874998,-0.5875488281249999,1.6145683937304331,0.08830673217773438,-0.07059909912633923,-0.09792480468749998,0.38358780552358207
351,K8gp7ncdUl8$_$5,missing,T,True,0.3,35,11,1.24890137,-0.5014973908662798,2.808227541875,0.6810546875000001,0.8606552152148439,0.24577392578125004,1.9475723266601561,0.4352807617187501,1.55432128625,0.7714843750000001,1.736613466042969,0.33709472656250006,0.18229217979296908,-0.43438964843750005,1.5594272005906724,0.07254679361979167,0.14596191357453273,-0.07239827473958334,0.4263844082613534
352,KDjl2exStlI$_$10,missing,T,True,0.1,15,2,1.2270508,-0.053889968991279666,0.1381836125,0.03745117187500001,-0.2161056331054688,0.015419921875000003,0.3542892456054688,0.022031250000000006,1.3590087703125,0.009667968749999999,1.2588546565429686,0.005668945312499999,-0.10015411376953143,-0.0039990234375,0.288732102104792,0.003671875000000001,-0.08162174878805559,-0.00066650390625,0.0525289311026216
352,KDjl2exStlI$_$10,missing,T,True,0.2,15,3,1.2270508,-0.053889968991279666,0.033935565625,0.02719726562500001,-0.2470474055664063,0.0148779296875,0.2809829711914063,0.012319335937500009,1.3431396296875,0.0014160156250000028,1.1974593928710937,0.007958984375000002,-0.1456802368164063,0.006542968749999999,0.22899030928556263,0.0020532226562500013,-0.11872378722430976,0.0010904947916666665,0.02835255987729238
352,KDjl2exStlI$_$10,missing,T,True,0.3,15,5,1.2270508,-0.053889968991279666,-0.353759746875,0.021533203124999997,-0.4311477473632812,0.018571777343750005,0.0773880004882812,0.002961425781249992,1.2239990046875,0.0057128906249999944,1.1086150935546875,0.008425292968750001,-0.11538391113281254,0.002712402343750007,0.06306824250474284,0.0004935709635416653,-0.09403344759594709,0.0004520670572916678,-0.0075048917675927295
