sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
61,1HK7Nea0PFo$_$1,zero,3.752034505208333,-0.7955403645833333,0.8712207105064247,0.7188786916107779,0.7950497010586013,0.0421956380208333,-0.0302083333333333,0.009797808012093718,0.02729732909754086,0.01854756855481729,0.5124104817708334,-0.2808919270833333,0.1189814814814815,0.25382397929168143,0.18640273038658145,T,False,True
62,216097$_$1,zero,5.100504557291666,-1.5369791666666668,0.9541026031359415,0.9788539679907124,0.9664782855633269,-0.1995442708333333,0.0036458333333332,0.03732683817932714,0.0023219172402354237,0.01982437770978128,0.0458170572916666,-0.0295572916666667,0.008570558684731302,0.018824114769052182,0.013697336726891742,T,False,True
63,216097$_$2,zero,2.093465169270833,-0.2628662109375,0.7885750195423263,0.5674009274873525,0.6779879735148394,0.1159261067708333,-0.1112060546875,0.043667519887190955,0.24004005059021924,0.1418537852387051,-0.4453531901041666,-0.089208984375,0.16775746057048263,0.19255902192242833,0.18015824124645546,T,False,True
64,216097$_$5,zero,1.808863321940104,-0.37216796875,0.6358267927699212,0.7460845732184811,0.6909556829942012,-0.1455891927083333,-0.0406249999999999,0.051175513560867456,0.08144087705559888,0.06630819530823318,-0.8904469807942708,0.0860351562499999,0.3129976936692114,0.17247454972591997,0.24273612169756567,T,False,True
65,216097$_$4,zero,4.49658203125,-1.3314778645833334,0.8691015477538694,0.7517828260549919,0.8104421869044307,-0.010986328125,-0.0875813802083333,0.0021234428086070213,0.04945044846346123,0.025786945636034127,0.666259765625,-0.3520345052083333,0.1287750094375236,0.19876672548154678,0.16377086745953517,T,False,True
66,216097$_$7,zero,1.4038492838541663,0.4557942708333333,0.787298617132947,0.8012130922407873,0.7942558546868672,-0.0053304036458333,-0.0735026041666667,0.0029893660718360465,0.129205767910277,0.06609756699105652,0.3739420572916666,0.0395833333333333,0.20971201679521703,0.06958113984893562,0.13964657832207633,T,False,True
67,216097$_$8,zero,6.26611328125,-1.8541015625000004,0.9581155741376736,0.955895680193334,0.9570056271655039,-0.1826171875,-0.07744140625,0.027922950574884278,0.039925485852381426,0.033924218213632854,-0.0913085937499999,0.00810546875,0.013961475287442123,0.0041788339542845635,0.009070154620863344,T,False,True
68,223431$_$11,zero,4.648518880208333,-1.3725179036458337,0.8769363034834272,0.7754680718016627,0.8262021876425449,-0.0166422526041666,-0.0578908284505208,0.003139536668867144,0.032708126425365976,0.01792383154711656,0.6357014973958333,-0.3395131429036458,0.1199241598477056,0.19182380177297134,0.15587398081033849,T,False,True
69,223431$_$10,zero,1.4800923665364585,0.3830729166666666,0.791706342944515,0.6818076477404403,0.7367569953424777,-0.3203837076822916,-0.0786458333333333,0.17137431371375397,0.1399768250289687,0.15567556937136134,0.0690205891927083,-0.1001302083333333,0.03691934334173109,0.17821552723059092,0.107567435286161,T,False,True
70,223431$_$13,zero,5.103271484375,-1.7824218750000005,0.9172810251009303,0.8996451104100947,0.9084630677555126,-0.12109375,-0.0040039062499999,0.021765841671054942,0.0020208990536277095,0.011893370362341326,0.3391113281249999,-0.19482421875,0.060953133228014725,0.09833399053627759,0.07964356188214616,T,False,True
71,223431$_$0,zero,0.7019856770833334,-0.2284016927083333,0.5955537144435239,0.5570861452957524,0.5763199298696382,0.0667317708333333,0.0091471354166666,0.056614194973764125,0.022310440651051852,0.039462317812407985,0.4099934895833333,-0.1724446614583333,0.3478320905827119,0.4206034140531958,0.38421775231795385,T,False,True
72,223431$_$5,zero,-0.1181437174479167,-0.314788818359375,0.1523747048018893,0.4270584923158453,0.28971659855886733,0.5888875325520834,-0.0455383300781249,0.7595119391235896,0.06177961049284565,0.4106457748082176,0.0683186848958333,-0.3767822265625,0.08811335607452107,0.511161897191309,0.29963762663291504,A,False,False
73,225770$_$3,zero,3.1951548258463545,-1.061376953125,0.6943614831779606,0.6569848274194523,0.6756731552987065,-0.6566975911458333,0.288232421875,0.14271155491397203,0.17841383062322433,0.1605626927685982,0.7497202555338542,-0.2659179687499999,0.16292696190806738,0.1646013419573233,0.16376415193269533,T,False,False
74,225770$_$5,zero,1.942509969075521,-0.28958740234375,0.6136883681169295,0.4271335974072741,0.5204109827621017,-0.4913431803385417,0.1031982421875,0.15522782344887873,0.1522146200936262,0.15372122177125247,0.7314503987630208,-0.28519287109375,0.23108380843419182,0.4206517824990998,0.3258677954666458,T,False,True
75,225770$_$4,zero,1.8605804443359373,-0.4775960286458333,0.880155625171433,0.5952088763577724,0.7376822507646027,-0.1131744384765624,0.0886271158854166,0.05353765753800397,0.11045243866570648,0.08199504810185522,0.140167236328125,-0.2361775716145833,0.06630671729056288,0.29433868497652105,0.18032270113354196,T,False,True
76,225770$_$6,zero,3.0531005859375,-0.6398406982421875,0.7608603066439523,0.6434814901204937,0.702170898382223,-0.2713623046875,0.0658233642578124,0.06762594305183743,0.0661979093135599,0.06691192618269867,0.688232421875,-0.288677978515625,0.17151375030421026,0.2903206005659462,0.23091717543507823,T,False,True
77,236021$_$12,zero,-0.7318267822265625,-0.2692057291666667,0.3328359866202168,0.3583188908145581,0.34557743871738744,0.2628631591796875,0.0422200520833333,0.11955058363058474,0.056195840554592674,0.0878732120925887,1.204071044921875,0.4398763020833334,0.5476134297491985,0.5854852686308493,0.5665493491900239,V,False,True
78,236021$_$1,zero,2.5335439046223955,-0.4310994466145833,0.8021743891676705,0.5465580569942842,0.6743662230809773,-0.4917093912760417,0.1493082682291666,0.15568574907078764,0.18929654773941929,0.17249114840510346,0.1330922444661458,-0.2083455403645833,0.04213986176154187,0.2641453952662966,0.15314262851391924,T,False,True
79,236021$_$3,zero,5.613321940104166,-1.9944661458333333,0.9158036591518627,0.9133870005963028,0.9145953298740828,0.0893961588541666,-0.0452473958333333,0.014584827000185869,0.020721526535480008,0.01765317676783294,0.4266764322916667,-0.1438802083333333,0.06961151384795136,0.06589147286821703,0.0677514933580842,T,False,True
80,236021$_$2,zero,2.9786173502604165,-0.7364990234375,0.6873796891872858,0.6297649367458561,0.6585723129665709,-0.4068806966145833,0.0968505859375,0.09389642706230339,0.08281491378230554,0.08835567042230447,0.9477945963541669,-0.3361328125,0.21872388375041085,0.28742014947183836,0.2530720166111246,T,False,True
81,236021$_$5,zero,2.3905029296875,-0.5638570149739583,0.6801069667291797,0.539213282903748,0.6096601248164639,-0.033935546875,-0.0068776448567708,0.009654789192192818,0.006577052982193967,0.008115921087193393,1.0904541015625,-0.4749684651692708,0.3102382440786275,0.45420966411405805,0.3822239540963428,T,False,True
82,236021$_$4,zero,5.528401692708333,-1.9569661458333332,0.850033784629245,0.8655053268067954,0.8577695557180202,-0.5953776041666667,0.1828776041666666,0.09154383242823896,0.08088108263748918,0.08621245753286408,0.3799641927083333,-0.1212239583333333,0.05842238294251608,0.05361359055571551,0.056017986749115796,T,False,False
83,237009$_$11,zero,3.827738444010417,-1.2356563568115235,0.8314815796916986,0.7084614274216126,0.7699715035566556,0.1326090494791666,-0.0403926849365234,0.028806038749823206,0.023159075797872318,0.02598255727384776,0.6431681315104167,-0.4680915832519531,0.13971238155847832,0.2683794967805151,0.2040459391694967,T,False,True
