sample_index,sample_id,baseline,main_modality,ratio,k,RandomComp_cls_mean,RandomComp_reg_mean,RandomSuff_cls_mean,RandomSuff_reg_mean
22,102858$_$10,zero,T,0.2,2,0.494744866796875,0.17810546874999997,2.3798599180664066,0.808876953125
22,102858$_$10,zero,T,0.3,3,0.713482659765625,0.25519531250000005,1.9537185606445315,0.6804882812499999
23,102858$_$17,zero,T,0.1,1,0.3593581759570313,0.10562500000000001,2.2965941989062495,0.594171142578125
23,102858$_$17,zero,T,0.2,2,0.5972823702929689,0.13748779296875,2.0251464449999994,0.53447265625
23,102858$_$17,zero,T,0.3,3,0.5414077365039065,0.22992187500000005,2.1929351412890616,0.45156387329101555
24,102858$_$19,zero,V,0.1,2,0.059997550468749994,0.029072265625,0.4641357340625,0.16682617187499998
24,102858$_$19,zero,V,0.2,3,0.09780272625,0.043056640624999996,0.41245116374999996,0.151435546875
24,102858$_$19,zero,V,0.3,4,0.14910887859374994,0.0614501953125,0.34409178874999996,0.131787109375
25,112433$_$10,zero,T,0.1,1,0.7789268868499999,0.08527832031250002,0.0002441031402344862,0.0001953124999999993
25,112433$_$10,zero,T,0.2,1,0.7789268868499999,0.08527832031250002,0.0002441031402344862,0.0001953124999999993
25,112433$_$10,zero,T,0.3,1,0.7789268868499999,0.08527832031250002,0.0002441031402344862,0.0001953124999999993
26,112433$_$3,zero,T,0.1,4,0.27907560755859395,0.06326156616210939,2.4660278170312506,0.3923120117187501
26,112433$_$3,zero,T,0.2,7,0.5542449801171877,0.0864691162109375,2.3052856295312507,0.33296188354492184
26,112433$_$3,zero,T,0.3,10,0.8070482104028323,0.10450225830078126,2.144902023574219,0.3050634765625001
27,112433$_$7,zero,T,0.1,1,0.18779294124999996,0.0695068359375,3.359234591640625,0.925986328125
27,112433$_$7,zero,T,0.2,2,0.5317199432031249,0.11988159179687505,3.063482638515625,0.7992285156250002
27,112433$_$7,zero,T,0.3,3,1.3414848052636716,0.3224578094482422,2.3359018050805664,0.5196130371093751
28,112433$_$6,zero,T,0.1,3,0.3684570562500003,0.10835937499999992,4.740903688635255,1.865382537841797
28,112433$_$6,zero,T,0.2,5,0.6344238531250003,0.1855859374999999,4.457308984960939,1.7101286315917972
28,112433$_$6,zero,T,0.3,8,1.397137476171875,0.45804687499999996,3.5342924368041997,1.30086181640625
29,117tQqLjza4$_$6,zero,T,0.1,2,-0.029760754687500036,0.024199218750000008,0.16591797500000002,0.11066406250000005
29,117tQqLjza4$_$6,zero,T,0.2,3,-0.05026856718750006,0.027207031250000034,0.13588867937500002,0.09101562500000004
29,117tQqLjza4$_$6,zero,T,0.3,5,-0.024121106250000034,0.029384765625000024,0.15520020156250003,0.07537109375000002
30,11j7EfglCAs$_$2,zero,T,0.1,3,0.022802709375000153,0.010791015624999994,0.13762205031250013,0.066015625
30,11j7EfglCAs$_$2,zero,T,0.2,5,0.016210912500000153,0.018549804687499998,0.09365233125000008,0.06576171874999999
30,11j7EfglCAs$_$2,zero,T,0.3,8,0.03466794375000015,0.03160156249999999,0.10522461687499995,0.04956054687499999
31,121128$_$10,zero,T,0.1,2,0.014251746484374994,0.05132812500000002,2.109698523828125,0.7925048828125001
31,121128$_$10,zero,T,0.2,3,-0.134832726171875,0.07929687500000004,1.3412781136718752,0.5912451171875001
31,121128$_$10,zero,T,0.3,5,-0.069091759375,0.13132812500000007,0.7720962899414061,0.40279296875000004
32,121128$_$1,zero,T,0.1,3,-0.0681930915898438,0.010124511718750003,1.0444823844843751,0.22054687499999998
32,121128$_$1,zero,T,0.2,6,-0.09035173817340092,0.015200195312500003,0.8181579215937498,0.16956054687500002
32,121128$_$1,zero,T,0.3,9,-0.05727218552294926,0.019724121093749998,0.5688048942499998,0.1251806640625
33,121128$_$0,zero,T,0.1,2,0.07883915289062511,0.0182733154296875,1.0170776782812503,0.14205322265624998
33,121128$_$0,zero,T,0.2,3,0.1590393482031251,0.02484512329101562,0.7959228931250003,0.09374023437500001
33,121128$_$0,zero,T,0.3,4,0.3297302661718751,0.035811691284179686,0.5408020435156253,0.04932754516601563
34,121128$_$5,zero,T,0.1,1,0.32840576796874965,0.12826171875000006,2.3014465394531243,0.7590917968750002
34,121128$_$5,zero,T,0.2,2,0.7013488832031246,0.2708203125000001,1.7577713075195305,0.6070312500000001
34,121128$_$5,zero,T,0.3,3,0.6011108460937497,0.23412109375000006,1.7504089417968742,0.6375683593750001
35,125344$_$0,zero,T,0.1,5,0.2963866812500001,0.104775390625,4.8331786734375,1.3628710937500002
35,125344$_$0,zero,T,0.2,10,0.8581054312499999,0.26522216796875003,4.23934322421875,1.1879492187500003
35,125344$_$0,zero,T,0.3,15,1.2286437613281247,0.350211181640625,3.948988304785156,1.121357421875
36,125676$_$0,zero,T,0.1,2,-0.02561036156249994,0.06329345703124999,0.7381835837499999,0.12610443115234377
36,125676$_$0,zero,T,0.2,3,0.26458739234375006,0.11039276123046875,0.47894896760937494,0.12519653320312502
36,125676$_$0,zero,T,0.3,4,0.42989500953125004,0.13350799560546875,0.5204498261015624,0.15155715942382814
37,125676$_$4,zero,T,0.1,3,0.057020572910156365,0.019062499999999993,1.5525283854101564,0.38177734374999994
37,125676$_$4,zero,T,0.2,6,0.18891449380859388,0.0458203125,1.2159469645117187,0.27947265624999995
37,125676$_$4,zero,T,0.3,9,0.3474105875585938,0.0786328125,0.9538711588476563,0.21007812499999995
38,128059$_$11,zero,T,0.1,4,0.18461915312500016,0.03722656250000002,4.179312146289062,1.5084222412109374
38,128059$_$11,zero,T,0.2,8,0.37421876250000013,0.06316406249999999,3.65020753203125,1.2986499023437499
38,128059$_$11,zero,T,0.3,12,0.673388684375,0.1303125,2.9601928835937508,0.9816577148437501
