sample_index,sample_id,baseline,main_modality,TEXT_MISSING_OOD_CAUTION,ratio,n_candidates,k,M_full,y_attr_full,CompTopK_cls,CompTopK_reg,RandomComp_cls_mean,RandomComp_reg_mean,GainComp_cls,GainComp_reg,SuffTopK_cls,SuffTopK_reg,RandomSuff_cls_mean,RandomSuff_reg_mean,GainSuff_cls,GainSuff_reg,F_comp_cls,F_comp_reg,F_suff_cls,F_suff_reg,FaithfulnessScore_ratio
11,101787$_$7,zero,T,False,0.1,8,1,2.965332,1.3801432341337203,0.5893554375000001,0.2437499999999999,0.27480465625000006,0.09886718749999993,0.31455078125,0.14488281249999999,1.4122314140625,0.4671875,2.391708175880433,0.8813720703125,0.9794767618179328,0.4141845703125,0.10607603977361059,0.024147135416666663,0.3303091969158043,0.06903076171875,0.1323907834562079
11,101787$_$7,zero,T,False,0.2,8,2,2.965332,1.3801432341337203,1.163330046875,0.5070312499999999,0.3866943046875001,0.13214843749999988,0.7766357421875,0.37488281250000005,0.9401855156250001,0.2945312499999999,2.1087552950210577,0.7823046874999999,1.1685697793960577,0.4877734375,0.26190506839788313,0.06248046875000001,0.3940770832132707,0.08129557291666667,0.19993954831945512
11,101787$_$7,zero,T,False,0.3,8,3,2.965332,1.3801432341337203,2.5555419609375,1.03515625,0.7405151054687501,0.26960937499999993,1.81502685546875,0.7655468750000001,0.4916991875000001,0.14531249999999996,1.460527007324219,0.5390014648437498,0.9688278198242188,0.3936889648437498,0.6120819670063193,0.12759114583333334,0.3267180515052504,0.0656148274739583,0.28300149795471535
12,101787$_$9,zero,T,False,0.1,19,2,0.1464843,-0.28235676586627967,0.1884764875,0.07187500000000002,-0.077294996875,0.02900390625000001,0.265771484375,0.04287109375000001,0.8095703875,0.2781982421875,0.7574827944213866,0.172039794921875,-0.05208759307861344,-0.10615844726562501,1.814321876495457,0.007145182291666669,-0.3555823900324021,-0.017693074544270836,0.3620478985526126
12,101787$_$9,zero,T,False,0.2,19,4,0.1464843,-0.28235676586627967,0.33349601875,0.14882812499999998,-0.20478523124999998,0.04457031250000002,0.53828125,0.10425781249999996,1.076416090625,0.28663330078125,0.8452423845703123,0.10923583984375003,-0.23117370605468768,-0.17739746093749997,3.674643462518082,0.017376302083333326,-1.5781358679313737,-0.029566243489583328,0.5210794132951146
12,101787$_$9,zero,T,False,0.3,19,6,0.1464843,-0.28235676586627967,-0.02685554374999999,0.08984375,-0.2097657,0.059326171875,0.18291015625,0.030517578125,1.210357741015625,0.155859375,0.9519821916992186,0.11360595703124998,-0.2583755493164064,-0.04225341796875001,1.248658781802679,0.005086263020833333,-1.7638326119850003,-0.007042236328125002,-0.12928245087240323
13,102408$_$2,zero,T,False,0.1,7,1,0.90454105,0.011454269289970337,-0.15820309062500004,0.03951416015625,-0.2431945457031251,0.028589477539062498,0.08499145507812506,0.0109246826171875,0.46069339374999996,0.21947021484375,0.426922641796875,0.21289794921875002,-0.033770751953124956,-0.00657226562499999,0.09396075625022082,0.0018207804361979167,-0.03733464016750239,-0.001095377604166665,0.014337879728687422
13,102408$_$2,zero,T,False,0.2,7,2,0.90454105,0.011454269289970337,-0.32360836406250004,0.04884033203125,-0.3558713569213868,0.04788909912109376,0.032262992858886785,0.0009512329101562453,0.15161136249999996,0.13831787109375,0.16706543999999995,0.10952270507812503,0.015454077499999996,-0.028795166015624957,0.03566776454327003,0.00015853881835937422,0.01708497410374675,-0.004799194335937493,0.012028020782359665
13,102408$_$2,zero,T,False,0.3,7,3,0.90454105,0.011454269289970337,-0.628936733203125,0.05220947265625,-0.4586089744140624,0.054011840820312504,-0.17032775878906264,-0.0018023681640625053,0.26171871562500004,0.026354980468750004,0.4177337302734376,0.053226318359375004,0.15601501464843753,0.026871337890625,-0.1883027536299309,-0.00030039469401041755,0.1724795598484753,0.004478556315104167,-0.002911258040090464
14,102408$_$5,zero,A,False,0.1,29,3,2.0126953199999997,1.1254557341337204,0.16235352312499973,0.05703125000000009,0.12276612078124974,0.03703125,0.039587402343749994,0.020000000000000087,1.3413086012499997,0.45703125,1.3850158766406246,0.48296875000000006,0.04370727539062491,0.025937500000000058,0.019668840227098937,0.003333333333333348,0.02171578243389689,0.004322916666666676,0.012260218165248964
