sample_index,sample_id,baseline,main_modality,comparison,n_candidates,top20_k,top20_jaccard,position_spearman
54,130456$_$7,zero,T,w1_vs_w3,8,2,0.3333333333333333,0.11904761904761905
54,130456$_$7,zero,T,w3_vs_w5,8,2,0.0,0.3952166664313755
54,130456$_$7,zero,T,w1_vs_w5,8,2,0.0,-0.5988131309566295
55,130456$_$6,zero,T,w1_vs_w3,33,7,0.4,0.5652210264574096
55,130456$_$6,zero,T,w3_vs_w5,33,7,1.0,0.9415106951871658
55,130456$_$6,zero,T,w1_vs_w5,33,7,0.4,0.4811565154260444
56,188343$_$13,zero,T,w1_vs_w3,42,9,0.2857142857142857,0.4828815692144749
56,188343$_$13,zero,T,w3_vs_w5,42,9,0.5,0.9225346406287983
56,188343$_$13,zero,T,w1_vs_w5,42,9,0.2,0.37445808547408765
57,188343$_$12,zero,T,w1_vs_w3,30,6,0.5,0.6078344693010354
57,188343$_$12,zero,T,w3_vs_w5,30,6,0.7142857142857143,0.7957730812013347
57,188343$_$12,zero,T,w1_vs_w5,30,6,0.3333333333333333,0.4860895206713517
58,188343$_$5,zero,T,w1_vs_w3,20,4,0.3333333333333333,0.5398496240601504
58,188343$_$5,zero,T,w3_vs_w5,20,4,0.6,0.6947368421052631
58,188343$_$5,zero,T,w1_vs_w5,20,4,0.3333333333333333,0.3413533834586466
59,188343$_$9,zero,V,w1_vs_w3,30,6,0.7142857142857143,0.6983314794215795
59,188343$_$9,zero,V,w3_vs_w5,30,6,0.5,0.8095661846496106
59,188343$_$9,zero,V,w1_vs_w5,30,6,0.3333333333333333,0.41846496106785314
60,188343$_$8,zero,T,w1_vs_w3,21,5,0.42857142857142855,0.8011697597719937
60,188343$_$8,zero,T,w3_vs_w5,21,5,0.6666666666666666,0.8896103896103895
60,188343$_$8,zero,T,w1_vs_w5,21,5,0.25,0.6244315808117485
61,1HK7Nea0PFo$_$1,zero,T,w1_vs_w3,17,4,0.3333333333333333,0.17412633561020405
61,1HK7Nea0PFo$_$1,zero,T,w3_vs_w5,17,4,0.0,0.27941176470588236
61,1HK7Nea0PFo$_$1,zero,T,w1_vs_w5,17,4,0.0,-0.09442061860553318
62,216097$_$1,zero,T,w1_vs_w3,13,3,0.5,0.6208791208791209
62,216097$_$1,zero,T,w3_vs_w5,13,3,1.0,0.989010989010989
62,216097$_$1,zero,T,w1_vs_w5,13,3,0.5,0.5824175824175823
63,216097$_$2,zero,T,w1_vs_w3,24,5,0.1111111111111111,0.13652173913043478
63,216097$_$2,zero,T,w3_vs_w5,24,5,0.42857142857142855,0.7495652173913043
63,216097$_$2,zero,T,w1_vs_w5,24,5,0.1111111111111111,0.10086956521739131
64,216097$_$5,zero,T,w1_vs_w3,32,7,0.4,0.5244729693992086
64,216097$_$5,zero,T,w3_vs_w5,32,7,0.75,0.784824046920821
64,216097$_$5,zero,T,w1_vs_w5,32,7,0.2727272727272727,0.19266728096419722
65,216097$_$4,zero,T,w1_vs_w3,46,10,0.25,0.40481110427695965
65,216097$_$4,zero,T,w3_vs_w5,46,10,0.6666666666666666,0.7408184036332345
65,216097$_$4,zero,T,w1_vs_w5,46,10,0.25,0.22599149003132135
66,216097$_$7,zero,T,w1_vs_w3,48,10,0.25,0.17012844254756282
66,216097$_$7,zero,T,w3_vs_w5,48,10,0.5384615384615384,0.5747937472861484
66,216097$_$7,zero,T,w1_vs_w5,48,10,0.25,0.1125139268938877
67,216097$_$8,zero,T,w1_vs_w3,12,3,0.2,0.20979020979020982
67,216097$_$8,zero,T,w3_vs_w5,12,3,0.5,0.8671328671328673
67,216097$_$8,zero,T,w1_vs_w5,12,3,0.2,-0.09090909090909093
68,223431$_$11,zero,T,w1_vs_w3,27,6,0.5,0.4731379731379732
68,223431$_$11,zero,T,w3_vs_w5,27,6,0.7142857142857143,0.7753357753357752
68,223431$_$11,zero,T,w1_vs_w5,27,6,0.5,0.36324786324786323
69,223431$_$10,zero,T,w1_vs_w3,13,3,0.5,0.41208791208791207
69,223431$_$10,zero,T,w3_vs_w5,13,3,0.5,0.9065934065934067
69,223431$_$10,zero,T,w1_vs_w5,13,3,0.2,0.1758241758241758
70,223431$_$13,zero,T,w1_vs_w3,24,5,0.42857142857142855,0.26608695652173914
70,223431$_$13,zero,T,w3_vs_w5,24,5,0.42857142857142855,0.7330434782608695
70,223431$_$13,zero,T,w1_vs_w5,24,5,0.25,0.21043478260869564
71,223431$_$0,zero,T,w1_vs_w3,2,1,0.0,0.0
71,223431$_$0,zero,T,w3_vs_w5,2,1,1.0,0.0
71,223431$_$0,zero,T,w1_vs_w5,2,1,0.0,0.0
72,223431$_$5,zero,A,w1_vs_w3,17,4,0.3333333333333333,0.2058823529411765
72,223431$_$5,zero,A,w3_vs_w5,17,4,1.0,0.698529411764706
72,223431$_$5,zero,A,w1_vs_w5,17,4,0.3333333333333333,-0.019607843137254905
73,225770$_$3,zero,T,w1_vs_w3,48,10,0.42857142857142855,0.7712765957446808
73,225770$_$3,zero,T,w3_vs_w5,48,10,0.5384615384615384,0.9161962657403386
73,225770$_$3,zero,T,w1_vs_w5,48,10,0.3333333333333333,0.6745549283543204
74,225770$_$5,zero,T,w1_vs_w3,6,2,0.0,0.028571428571428574
74,225770$_$5,zero,T,w3_vs_w5,6,2,0.3333333333333333,0.8451542547285165
74,225770$_$5,zero,T,w1_vs_w5,6,2,0.0,0.101418510567422
75,225770$_$4,zero,T,w1_vs_w3,32,7,0.2727272727272727,0.3091309338759348
75,225770$_$4,zero,T,w3_vs_w5,32,7,1.0,0.9142228739002932
75,225770$_$4,zero,T,w1_vs_w5,32,7,0.2727272727272727,0.37807116586724654
