bootstrap_repeat,mean_D_zero_minus_missing
316,-0.30236336523481183
317,0.15456022698935046
318,-0.17479109245137373
319,0.017198646646804462
320,-0.04141862871735363
321,-0.5472780844117325
322,0.03651790317510521
323,-0.12948451279887574
324,0.05312597123581404
325,0.3130009692355426
326,-0.0650792776903091
327,-0.15519585796309582
328,0.016708734443208285
329,-0.21089796938226488
330,0.11806741899457797
331,0.19390428851078362
332,0.07136603350757152
333,0.11310741601848828
334,-0.03638657392118435
335,0.23606818694897455
336,0.01400281736095009
337,-0.0416020751741705
338,-0.1567362136022788
339,-0.07465417971635457
340,-0.07677719403622617
341,-0.15167046794391803
342,-0.03364673961422789
343,-0.14402695216688605
344,-0.12299843514086294
345,0.10606731670686478
346,-0.05474303042869934
347,-0.46978317626543586
348,0.060702039284052704
349,-0.027053262519774503
350,-0.057498771151339854
351,-0.2493811912580273
352,-0.09697773490865819
353,-0.05754374633050332
354,-0.062117526166848736
355,-0.1271770563534346
356,-0.2375274888104307
357,-0.1537106973785544
358,-0.19223475444089433
359,-0.022781114244149473
360,0.08093480514820975
361,0.32755646659326
362,-0.20848435847021812
363,-0.09715557780489625
364,-0.2963598426201868
365,-0.21921125285848053
366,-0.03337545500460368
367,-0.0071767422772381125
368,-0.08627279534703473
369,0.1373614226167269
370,0.6072998610024278
371,-0.14245707035800173
372,0.22240340289069385
373,-0.3245916896916835
374,-0.05452570987180709
375,-0.3711275229648217
376,-0.11018666941447913
377,0.2396408471566248
378,-0.24378695511973425
379,-0.11788197745449264
380,-0.18884196254453553
381,0.25400937670646745
382,-0.2686755781646726
383,-0.2577081612681012
384,-0.15724525245521603
385,0.07742941618672003
386,0.17556479050728224
387,-0.2749277915181289
388,0.10239632881721007
389,-0.26178124415604526
390,0.08738291319837692
391,-0.36377749392836467
392,-0.24732815939942152
393,-0.10353563772421948
394,-0.1631128972353153
395,-0.2498041484818828
396,-0.2247535866503749
397,0.06522533703330004
398,-0.2314479296702276
399,0.07311341137569072
400,-0.20633432106630004
401,-0.10130875235792859
402,-0.2479520095907519
403,-0.2466102035431931
404,-0.03131954452560725
405,0.03947913690613298
406,0.2750410654260013
407,-0.1172161765820918
408,-0.05751026683826355
409,0.0668727907898728
410,-0.025784679106930063
411,-0.12172509942463014
412,-0.2420350730058482
413,-0.22389582790478954
414,-0.0775987276624146
415,-0.0420942709651334
416,-0.12752508543816674
