scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,runtime_seconds,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score,task_loss,weight_text,missing_region_weight_text,weight_audio,missing_region_weight_audio,weight_vision,missing_region_weight_vision
70,T+V_40_Head,T+V,40,0.4,Head,0.46582484245300293,0.5961538461538461,0.5911188419200505,0.6082029534881737,0.6084427833557129,0.600851564939007,0.5339805825242718,0.6630434782608695,0.5976331360946746,0.6043956043956044,0.49897750511247446,0.6699834162520729,0.822613000869751,0.3425167202949524,0.6226775050163269,0.6463274979735832,1.3659228191270933,0.4169409213108082,0.3745830403394828,0.27966763949174084,,0.3033914416548467,0.33690420986900416
71,T+V_40_Middle,T+V,40,0.4,Middle,0.46899962425231934,0.5851648351648352,0.5776510929576367,0.5958750124076072,0.6056694984436035,0.6112765143531675,0.5242718446601942,0.6086956521739131,0.6094674556213018,0.5950413223140496,0.4765957446808511,0.6613162118780096,0.8454296588897705,0.37088772654533386,0.5873537063598633,0.6430506524152763,1.3798294290081485,0.4212214441444834,0.37858766215855016,0.27833835142273644,,0.30044020115625253,0.33320046161796385
72,T+V_40_Tail,T+V,40,0.4,Tail,0.4645984172821045,0.5631868131868132,0.5536156921334314,0.5729896909209732,0.6092966198921204,0.6092276059517954,0.5242718446601942,0.5543478260869565,0.591715976331361,0.5684210526315789,0.44933920704845814,0.6430868167202572,0.8126013875007629,0.3815354108810425,0.6093772649765015,0.6307328094936666,1.3894018576695368,0.4242851612827464,0.3900620894184601,0.2775385477575131,,0.2981762876832129,0.3389204142159841
73,T+V_50_Head,T+V,50,0.5,Head,0.46161627769470215,0.5728021978021978,0.564356154578125,0.5828697168070172,0.6280167698860168,0.565419321349921,0.441747572815534,0.7010869565217391,0.5828402366863905,0.5384615384615384,0.4990328820116054,0.6555740432612313,0.9033690690994263,0.3340079188346863,0.6202507019042969,0.6233096876087262,1.423968962260655,0.40553643781790183,0.37061180806864163,0.2811231836372623,,0.31334038673615494,0.33965010260730855
74,T+V_50_Middle,T+V,50,0.5,Middle,0.4625813961029053,0.5508241758241759,0.5389070549607767,0.5581140967408461,0.6221853494644165,0.5804557065078837,0.3932038834951456,0.6521739130434783,0.591715976331361,0.5094339622641509,0.47337278106508873,0.6339144215530903,0.9357221126556396,0.34914904832839966,0.5797299742698669,0.6156979552011743,1.4292404651641846,0.40976104670797575,0.3753257719273306,0.279873047464775,,0.3103659009124579,0.3364784417776116
75,T+V_50_Tail,T+V,50,0.5,Tail,0.46512556076049805,0.5274725274725275,0.5149747154742256,0.5377672934923761,0.6448075771331787,0.5541375139289463,0.42718446601941745,0.532608695652174,0.5857988165680473,0.5086705202312138,0.4126315789473684,0.6236220472440945,0.9324512481689453,0.3782789707183838,0.614590585231781,0.5954122244578266,1.463043328169938,0.4143163424232422,0.3860933215306278,0.27871023730605055,,0.30697341863244343,0.3392505388219648
76,A+V_10_Head,A+V,10,0.1,Head,0.47168660163879395,0.6291208791208791,0.6193767304929509,0.6362779431800034,0.6063842177391052,0.6593209471620896,0.6796116504854369,0.5815217391304348,0.6242603550295858,0.6557377049180327,0.5083135391923991,0.694078947368421,0.7224107980728149,0.45358648896217346,0.6188496351242065,0.6764226210490545,1.3538128779484675,0.451065641783685,,0.2766404466258371,0.2822092078220894,0.27229390749481835,0.30659459525072424
77,A+V_10_Middle,A+V,10,0.1,Middle,0.4611654281616211,0.6291208791208791,0.6187985038339264,0.6362468245678724,0.6023514270782471,0.6621162375576263,0.6796116504854369,0.5760869565217391,0.6272189349112426,0.6542056074766355,0.5059665871121718,0.6962233169129721,0.7234559059143066,0.44976574182510376,0.6116065979003906,0.6773129528715873,1.3457818647007367,0.4524258021149278,,0.2749532298619895,0.27813718907503904,0.27262096638481886,0.29901170830347545
78,A+V_10_Tail,A+V,10,0.1,Tail,0.4650001525878906,0.6346153846153846,0.6224074813493327,0.6408927641538773,0.6085525751113892,0.6597766585521403,0.6844660194174758,0.5597826086956522,0.6449704142011834,0.6604215456674473,0.5024390243902439,0.7043618739903069,0.7323132753372192,0.4680045545101166,0.6096357703208923,0.6784871665365987,1.355969991002764,0.45026184894610094,,0.2788143751829613,0.2718089873820668,0.2709237783283334,0.2999819342561347
79,A+V_20_Head,A+V,20,0.2,Head,0.46215128898620605,0.6222527472527473,0.6123779148035634,0.6295576231002753,0.6048089861869812,0.6594756738707439,0.6844660194174758,0.5652173913043478,0.6153846153846154,0.654292343387471,0.49523809523809526,0.687603305785124,0.7200256586074829,0.44332876801490784,0.6224945783615112,0.6731258351328486,1.353568856532757,0.44740302782343366,,0.275437245892178,0.2791878655572812,0.2771597352948392,0.303951736307208
80,A+V_20_Middle,A+V,20,0.2,Middle,0.4620094299316406,0.6291208791208791,0.6180788162355203,0.635960076419887,0.6020557284355164,0.6631150028637891,0.6844660194174758,0.5652173913043478,0.6301775147928994,0.6558139534883721,0.5012048192771085,0.6972176759410802,0.7247844934463501,0.4490301311016083,0.610560417175293,0.6774073638520874,1.3461133857349774,0.4485930544587197,,0.27478408895389755,0.2787586115131097,0.2766228500343275,0.2996448389178459
81,A+V_20_Tail,A+V,20,0.2,Tail,0.4607572555541992,0.635989010989011,0.6229609117324139,0.6420072504997333,0.6101171374320984,0.6599202433994339,0.6796116504854369,0.5597826086956522,0.650887573964497,0.6542056074766355,0.5061425061425061,0.7085346215780999,0.7381424307823181,0.46936532855033875,0.6087121367454529,0.6788744467442065,1.358769687977466,0.44574124346686606,,0.2801467112417715,0.27609695373290033,0.2741120559400772,0.30139108272281834
82,A+V_30_Head,A+V,30,0.3,Head,0.4625098705291748,0.6222527472527473,0.6126785489953451,0.6287560774866181,0.6048886775970459,0.6598683728144089,0.6844660194174758,0.5706521739130435,0.6124260355029586,0.651270207852194,0.5035971223021583,0.6831683168316832,0.7213625311851501,0.4377746880054474,0.6248749494552612,0.6732925274658715,1.3567624720898304,0.4442170454192781,,0.2734753586382269,0.27723314689455386,0.2823076057720778,0.3040492918333721
