scenario_id,hybrid_accuracy,hybrid_macro_f1,hybrid_mae_raw,hybrid_pearson_raw,hybrid_mae_calibrated,hybrid_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw,seed_2028_mae_calibrated,seed_2028_pearson_calibrated,scenario,modality_combination,missing_rate_percent,position
81,0.6167582417582418,0.6062079049982275,0.579297119104764,0.6711544792277603,0.5779365981032888,0.6681402438254719,0.6167582417582418,0.6062079049982275,0.5793211692841825,0.6710180780322511,0.5782875182337976,0.6683343788234167,A+V_20_Tail,A+V,20,Tail
82,0.6126373626373627,0.6067062289356625,0.5764211899181316,0.6696652547365038,0.5777133910729334,0.6661923867493874,0.6126373626373627,0.6067062289356625,0.5767484395918283,0.6694693398463344,0.5784029975437692,0.6663723086224852,A+V_30_Head,A+V,30,Head
83,0.6126373626373627,0.6050840573960811,0.5716770563847743,0.674326131775776,0.5730384014193173,0.6712252119931827,0.6126373626373627,0.6050840573960811,0.5718536012816232,0.674554455820195,0.5732274533211367,0.6717971491204646,A+V_30_Middle,A+V,30,Middle
84,0.614010989010989,0.6046844252503877,0.5801919540902089,0.6707282776351903,0.578479341024619,0.6678760446377952,0.614010989010989,0.6046844252503877,0.5802674469752953,0.6706872289645802,0.5789136591823056,0.6681584124868476,A+V_30_Tail,A+V,30,Tail
85,0.6112637362637363,0.6067181039358069,0.5773609943319481,0.6687955433897961,0.5786783734148184,0.6652406010121669,0.6112637362637363,0.6067181039358069,0.5776012391056661,0.6687553960883402,0.5793497964879805,0.665580926147787,A+V_40_Head,A+V,40,Head
86,0.6153846153846154,0.6083397205528613,0.5714060835990605,0.673938470253571,0.572839116568454,0.6708268516995475,0.6153846153846154,0.6083397205528613,0.5714464029808949,0.6743323480796918,0.5729988282102642,0.671561804981894,A+V_40_Middle,A+V,40,Middle
87,0.6181318681318682,0.6082096960109872,0.5800339001589097,0.6707700896714415,0.5782609453100752,0.6680604599122381,0.6181318681318682,0.6082096960109872,0.5799724381253287,0.6710534599855766,0.5786182180984497,0.6686512372712463,A+V_40_Tail,A+V,40,Tail
88,0.6016483516483516,0.598600450374393,0.5745335080834864,0.6710557078299567,0.5763025267377332,0.6674668759176626,0.6016483516483516,0.598600450374393,0.5746748409960624,0.6714032827425211,0.5768020503546346,0.6682061948872895,A+V_50_Head,A+V,50,Head
89,0.614010989010989,0.6087203708562932,0.571374845754478,0.6729295740617666,0.5734083873602714,0.6698909450748316,0.614010989010989,0.6087203708562932,0.5713129510468506,0.6735138870931875,0.5735413738018373,0.6708094006458649,A+V_50_Middle,A+V,50,Middle
90,0.6098901098901099,0.6024175168377105,0.5783078120837172,0.6705793292834066,0.5772505102050828,0.6680128625184892,0.6098901098901099,0.6024175168377105,0.5780602119822096,0.6711210674170771,0.5774566392928853,0.6688455702433127,A+V_50_Tail,A+V,50,Tail
