sample_index,sample_id,word_index,word,wordpiece_tokens,wordpiece_start,wordpiece_end,signed_cls_effect,classification_sensitivity,support_cls,regression_effect,combined_score,combined_score_w1,combined_score_w2,combined_score_w3
14,14,28,york,york,33,33,-0.20198567708333331,0.20198567708333331,0.0,0.03011067459980647,0.004805544579524931,0.0002871457046577938,0.006355933700643965,0.005856940751752295
14,14,29,university,university,34,34,-0.13199869791666669,0.13199869791666669,0.0,0.022786463300387066,0.003636629423122344,0.006460876939958747,0.004335831732285507,0.0018483886111283025
14,14,30,.,.,35,35,-0.220947265625,0.220947265625,0.0,0.04182943205038706,0.006675811921385379,0.02620244536761047,0.002857707790696844,0.0001781585525349725
15,15,0,however,however,1,1,0.9248860677083333,0.9248860677083333,0.9248860677083333,0.32239586114883423,0.019923976932919734,0.03903174650482377,0.0035891447026951307,0.01761668713085457
15,15,1,",",",",2,2,1.8955281575520833,1.8955281575520833,1.8955281575520833,0.6493490040302277,0.04048059813069081,0.035935990892946676,0.03944955910913678,0.046154728825864265
15,15,2,despite,despite,3,3,3.429972330729167,3.429972330729167,3.429972330729167,1.2078776607910793,0.07426873155665997,0.06910527338254109,0.07858372668128336,0.0750033866067267
15,15,3,their,their,4,4,3.6351318359375,3.6351318359375,3.6351318359375,1.246679777900378,0.07767457855467685,0.054984464489102935,0.0879861970570198,0.08988964275641172
15,15,4,poverty,poverty,5,5,4.3621826171875,4.3621826171875,4.3621826171875,1.4932292997837067,0.09312340772948464,0.09216615730367655,0.09349008692318629,0.09371289001823602
15,15,5,",",",",6,6,2.986597696940104,2.986597696940104,2.986597696940104,1.0462240676085155,0.06449741679796377,0.04479769108410926,0.06179096153886458,0.08725058514620804
15,15,6,the,the,7,7,1.8926289876302083,1.8926289876302083,1.8926289876302083,0.7376953860123953,0.043187225513771924,0.017688084006735362,0.04259035802899423,0.06960775543563583
