sample_index,sample_id,shapley_T,shapley_A,shapley_V,local_T,local_A,local_V,shapley_main,local_main,top1_agreement,spearman_rank,l1_distance,pearson_aux
92,241629$_$8,0.8605166567818991,0.0025735006220375,0.1369098425960634,0.6845742010943585,0.04104114799182556,0.27438465091381586,T,T,True,1.0,0.35188491137508116,0.9758582315275238
93,243646$_$11,0.963633146754166,0.022800695456238,0.0135661577895959,0.8342512830158988,0.05532377810160489,0.11042493888249633,T,T,True,0.5,0.25876372747653453,0.9974175914480459
94,243646$_$12,0.8960931056342465,0.0207759432202063,0.083130951145547,0.9102112387482957,0.03973862465465767,0.05005013659704657,T,T,True,1.0,0.06616162909700099,0.9985657369720989
95,243646$_$9,0.9216781212278412,0.0074196959479274,0.0709021828242312,0.8520551013073039,0.006171679298996358,0.14177321939369975,T,T,True,1.0,0.14174207313893689,0.9961671891042567
96,243646$_$8,0.7485215570867876,0.0660554221184292,0.185423020794783,0.7623580233742814,0.047828062304120324,0.18981391432159828,T,T,True,1.0,0.03645471962861794,0.9997045568642052
97,247318$_$12,0.8895844972595861,0.0096164594166101,0.1007990433238038,0.9344746694711132,0.044661951166973884,0.02086337936191296,T,T,True,0.5,0.15987132792378175,0.9931384301360541
98,247318$_$1,0.4178051618881832,0.0454992407656388,0.536695597346178,0.15121450993837532,0.013142909767953013,0.8356425802936717,V,V,True,1.0,0.5978939658949873,0.7926161450065807
99,247318$_$3,0.8185825487408345,0.035766613367569,0.1456508378915965,0.9159540071014602,0.01600648656816499,0.0680395063303747,T,T,True,1.0,0.19474291672125157,0.9969215275251616
100,247318$_$2,0.201785118946883,0.0759053923582625,0.7223094886948545,0.31620432161954065,0.006259335052071799,0.6775363433283874,V,V,True,1.0,0.2288384053453154,0.9568836776622556
101,247318$_$5,0.5708710934115884,0.0362240119211381,0.3929048946672734,0.7338185434046611,0.07480698529469307,0.19137447130064572,T,T,True,1.0,0.40306084673325543,0.8536970077158549
102,247318$_$7,0.92549171715311,0.0076398066281878,0.066868476218702,0.9556678204250799,0.025107023918212602,0.019225155656707404,T,T,True,0.5,0.09528664112398935,0.998007324228838
103,247318$_$6,0.7529789806710532,0.068993688275495,0.1780273310534517,0.5111661470893346,0.04472810650857449,0.44410574640209083,T,T,True,1.0,0.5321568306972781,0.7214226815971985
104,252998$_$1,0.5801392045423193,0.0590170366612997,0.360843758796381,0.5647015193713628,0.34069357455893584,0.09460490606970126,T,T,True,0.5,0.5633530757952723,0.3942983616427576
105,252998$_$0,0.7279880089942494,0.0332569921777144,0.2387549988280362,0.979437792520517,0.00474998538333426,0.01581222209614863,T,T,True,1.0,0.5028995670525352,0.9604595285038032
106,252998$_$5,0.9412907170116634,0.0076069203570755,0.051102362631261,0.4228804466802908,0.07016033791467631,0.5069592154050329,T,V,False,0.5,1.0368205406627453,0.37322124466176554
107,252998$_$4,0.7709622583818003,0.0536088693500352,0.1754288722681644,0.7637805268706559,0.03481899681526749,0.20140047631407665,T,T,True,1.0,0.05194320809182439,0.998172175586106
108,252998$_$7,0.4049602122863095,0.0768593798268383,0.5181804078868522,0.989952230921293,0.005040048209523848,0.00500772086918331,V,T,False,-0.5,1.1699840372699668,0.2705966280614086
109,252998$_$8,0.8383762793605622,0.00733416613986,0.1542895544995777,0.8916480775898433,0.005466995460300939,0.10288492694985563,T,T,True,1.0,0.10654359645856222,0.997820133293335
110,257247$_$10,0.8576813162424612,0.0459016805863718,0.0964170031711669,0.8626965066925637,0.0112989749159089,0.12600451839152743,T,T,True,1.0,0.0692054113409259,0.9976278297316087
