sample_index,sample_id,main_modality,comparison,top_interval_overlap_iou,top20_jaccard,rank_spearman,baseline_agreement,multiscale_stability_threshold,sample_multiscale_stable,explanation_stability
311,FxxJB8hBpyQ$_$1,T,w1_vs_w2,0.75,0.42857142857142855,0.1935064935064935,True,0.4094276094276094,True,High
311,FxxJB8hBpyQ$_$1,T,w2_vs_w3,1.0,0.6666666666666666,0.8480519480519481,True,0.4094276094276094,True,High
311,FxxJB8hBpyQ$_$1,T,w1_vs_w3,0.75,0.42857142857142855,-0.04285714285714286,True,0.4094276094276094,True,High
312,Fy0Uid9afM8$_$0,T,w1_vs_w2,0.0,0.6,0.5149638802889577,False,0.4094276094276094,True,Moderate
312,Fy0Uid9afM8$_$0,T,w2_vs_w3,0.6666666666666666,1.0,0.7585139318885449,False,0.4094276094276094,True,Moderate
312,Fy0Uid9afM8$_$0,T,w1_vs_w3,0.0,0.6,0.391124871001032,False,0.4094276094276094,True,Moderate
313,Fy0Uid9afM8$_$3,T,w1_vs_w2,0.0,0.3333333333333333,0.5205882352941177,True,0.4094276094276094,True,High
313,Fy0Uid9afM8$_$3,T,w2_vs_w3,0.5,0.3333333333333333,0.7941176470588236,True,0.4094276094276094,True,High
313,Fy0Uid9afM8$_$3,T,w1_vs_w3,0.5,0.6,0.4382352941176471,True,0.4094276094276094,True,High
314,Fy0Uid9afM8$_$5,T,w1_vs_w2,0.6666666666666666,0.14285714285714285,0.4298245614035088,False,0.4094276094276094,False,Low
314,Fy0Uid9afM8$_$5,T,w2_vs_w3,1.0,0.6,0.7105263157894737,False,0.4094276094276094,False,Low
314,Fy0Uid9afM8$_$5,T,w1_vs_w3,0.6666666666666666,0.14285714285714285,0.0912280701754386,False,0.4094276094276094,False,Low
315,Fy0Uid9afM8$_$4,T,w1_vs_w2,1.0,0.3333333333333333,0.6166666666666666,True,0.4094276094276094,True,High
315,Fy0Uid9afM8$_$4,T,w2_vs_w3,0.5,1.0,0.7833333333333333,True,0.4094276094276094,True,High
315,Fy0Uid9afM8$_$4,T,w1_vs_w3,0.5,0.3333333333333333,0.65,True,0.4094276094276094,True,High
316,H1DpVwktfDQ$_$0,T,w1_vs_w2,0.6666666666666666,0.5,0.7582417582417583,True,0.4094276094276094,True,High
316,H1DpVwktfDQ$_$0,T,w2_vs_w3,0.75,1.0,0.8516483516483516,True,0.4094276094276094,True,High
316,H1DpVwktfDQ$_$0,T,w1_vs_w3,0.5,0.5,0.5934065934065934,True,0.4094276094276094,True,High
317,HGicRLwgtkM$_$1,T,w1_vs_w2,0.5,0.4,0.6748663101604278,False,0.4094276094276094,True,Moderate
317,HGicRLwgtkM$_$1,T,w2_vs_w3,0.8888888888888888,0.75,0.9257448433919022,False,0.4094276094276094,True,Moderate
317,HGicRLwgtkM$_$1,T,w1_vs_w3,0.4444444444444444,0.5555555555555556,0.5679144385026738,False,0.4094276094276094,True,Moderate
318,HGicRLwgtkM$_$3,T,w1_vs_w2,0.0,0.5,0.7435897435897435,False,0.4094276094276094,True,Moderate
318,HGicRLwgtkM$_$3,T,w2_vs_w3,0.42857142857142855,0.5,0.6567521367521366,False,0.4094276094276094,True,Moderate
318,HGicRLwgtkM$_$3,T,w1_vs_w3,0.42857142857142855,0.3333333333333333,0.5254700854700854,False,0.4094276094276094,True,Moderate
319,HGicRLwgtkM$_$2,T,w1_vs_w2,0.5,0.25,0.17588932806324112,False,0.4094276094276094,False,Low
319,HGicRLwgtkM$_$2,T,w2_vs_w3,0.3333333333333333,0.25,0.40711462450592883,False,0.4094276094276094,False,Low
319,HGicRLwgtkM$_$2,T,w1_vs_w3,0.16666666666666666,0.1111111111111111,0.058300395256917006,False,0.4094276094276094,False,Low
320,HGicRLwgtkM$_$6,T,w1_vs_w2,0.5,0.25,0.6965563523727308,True,0.4094276094276094,False,Moderate
320,HGicRLwgtkM$_$6,T,w2_vs_w3,0.2,0.25,0.5194805194805194,True,0.4094276094276094,False,Moderate
320,HGicRLwgtkM$_$6,T,w1_vs_w3,0.6,0.25,0.4359974929497224,True,0.4094276094276094,False,Moderate
321,HmXXW45eZL4$_$1,T,w1_vs_w2,0.6666666666666666,0.38461538461538464,0.5464786876605837,True,0.4094276094276094,False,Moderate
321,HmXXW45eZL4$_$1,T,w2_vs_w3,0.3,0.2857142857142857,0.6359234497339632,True,0.4094276094276094,False,Moderate
321,HmXXW45eZL4$_$1,T,w1_vs_w3,0.2,0.2,0.23182581784044512,True,0.4094276094276094,False,Moderate
322,HmXXW45eZL4$_$4,T,w1_vs_w2,1.0,0.3333333333333333,0.8493292053663571,True,0.4094276094276094,False,Moderate
