sample_index,cosine_similarity,relative_l2_error,max_abs_error,mean_abs_error,sample_id
450,0.9999999773763918,0.00021288636318547458,0.0027561187744140625,6.621933062330014e-05,VinxKpWioTo$_$5
451,0.9999999786916335,0.00020643894562279174,0.0018720626831054688,7.450782872384927e-05,ViyQVpGW05w$_$1
452,0.9999999770579028,0.00021582914137684758,0.0035505294799804688,6.607906267011762e-05,ViyQVpGW05w$_$4
453,0.9999999780334508,0.0002096340600899682,0.002201080322265625,7.539386771966335e-05,ViyQVpGW05w$_$6
454,0.9999999788618306,0.0002056325437330472,0.0027952194213867188,6.791499799931242e-05,Vuay0mVKkik$_$3
455,0.999999977724752,0.0002110699735584623,0.0032062530517578125,7.050733301809942e-05,WmQF5RmbsVQ$_$6
456,0.9999999772444058,0.0002134342953066336,0.0036020278930664062,7.233945601883284e-05,Wrcf2xtqbkQ$_$9
457,0.9999999775693903,0.00021189685191508334,0.00213623046875,6.589784217299795e-05,Wrcf2xtqbkQ$_$8
458,0.9999999792273987,0.0002038383132189898,0.0019512176513671875,6.444466008632004e-05,WxajvjGKz7Y$_$0
459,0.9999999766279313,0.00021690435124563582,0.00341033935546875,6.965399365406928e-05,WxajvjGKz7Y$_$3
460,0.999999978843275,0.0002058502730272531,0.00214385986328125,6.734942536576199e-05,WxajvjGKz7Y$_$6
461,0.9999999775198475,0.00021213017086791605,0.0032720565795898438,6.40731843074702e-05,XIGpuL-Kkyk$_$12
462,0.9999999775078176,0.000212219025328636,0.0033292770385742188,6.266523017346672e-05,XIGpuL-Kkyk$_$0
463,0.9999999772674214,0.00021380947628370337,0.0032291412353515625,6.796146618337816e-05,XIGpuL-Kkyk$_$4
464,0.9999999788538229,0.0002065437109004524,0.00270843505859375,6.0271236209951405e-05,XIGpuL-Kkyk$_$7
465,0.9999999781423723,0.00020926733720944633,0.0018839836120605469,6.792243294174016e-05,XaVYxIW0FDg$_$2
466,0.9999999786480108,0.00020666435790403634,0.0023469924926757812,6.253390784252132e-05,XyP8bVmGX6M$_$4
467,0.9999999784874456,0.00020746582896786686,0.0027303695678710938,6.962452578095833e-05,XzVapdEr_GY$_$3
468,0.9999999791511172,0.00020424207417517144,0.0021114349365234375,6.83006273923368e-05,XzVapdEr_GY$_$4
469,0.9999999771618547,0.0002140034072017787,0.0026216506958007812,7.012047222459818e-05,Y7h-S3cJ52o$_$0
470,0.9999999793156049,0.0002034179108927451,0.0017547607421875,6.914438378329963e-05,Y7qkyMyanjU$_$2
471,0.9999999746598696,0.00022529443232470274,0.0038633346557617188,6.698551746235164e-05,Y7qkyMyanjU$_$4
472,0.9999999785655374,0.00020774811297801437,0.0026960372924804688,7.37451351685397e-05,YbuG8xyUO-o$_$3
473,0.9999999792590297,0.00020409999916966694,0.0024671554565429688,6.776491927923292e-05,YbuG8xyUO-o$_$2
474,0.9999999766267379,0.00021634215616753494,0.0030994415283203125,7.05300512433611e-05,Z7L3V5bwzI0$_$2
475,0.9999999778404252,0.00021068672178784506,0.0019245147705078125,7.276178928671309e-05,ZaoFHcbRM9g$_$3
476,0.9999999799665238,0.00020037787552915925,0.0015969276428222656,7.249389674405282e-05,ZaoFHcbRM9g$_$2
477,0.9999999770685641,0.00021415667344129358,0.0023250579833984375,6.885375110243785e-05,ZaoFHcbRM9g$_$5
478,0.9999999766486873,0.0002161174140406601,0.0026493072509765625,6.258719344150639e-05,ZaoFHcbRM9g$_$9
479,0.999999976172545,0.0002205031784098989,0.0036325454711914062,7.369872653365898e-05,ZaoFHcbRM9g$_$8
480,0.9999999756582701,0.0002206433137147353,0.003650665283203125,6.87310659979327e-05,Zvisaa77Cng$_$1
481,0.9999999781201002,0.00020927576213349326,0.0018534660339355469,6.404466018468443e-05,Zvisaa77Cng$_$5
482,0.9999999782893588,0.00020842930095089901,0.0019335746765136719,7.360052274373595e-05,_7HVhnSYX1Y$_$26
483,0.9999999777369135,0.0002111577218535093,0.0032453536987304688,7.084339421902812e-05,_7HVhnSYX1Y$_$12
484,0.9999999793229556,0.00020345534343346275,0.001979827880859375,7.009777840652178e-05,_7HVhnSYX1Y$_$14
485,0.9999999775975945,0.00021176183676266288,0.0031490325927734375,7.054289557023215e-05,_7HVhnSYX1Y$_$19
486,0.9999999782467175,0.0002093175574330041,0.0028009414672851562,7.326543626354642e-05,_7HVhnSYX1Y$_$31
487,0.999999978364991,0.00020808466593956904,0.0024843215942382812,6.629243927288068e-05,_7HVhnSYX1Y$_$3
488,0.9999999793348265,0.00020366404540611725,0.0024738311767578125,6.950382066443527e-05,_BvNNdEkhZA$_$14
489,0.9999999782141961,0.00020884959388623646,0.0024938583374023438,7.047799748103584e-05,_BvNNdEkhZA$_$19
490,0.9999999769597342,0.00021468619820055887,0.0035076141357421875,6.662997245664807e-05,_BvNNdEkhZA$_$7
491,0.9999999786607767,0.00020661938250752924,0.0018954277038574219,7.002778063775534e-05,_BvNNdEkhZA$_$6
492,0.9999999791327098,0.00020450511560594228,0.0018830299377441406,6.30334849197488e-05,_BvNNdEkhZA$_$9
493,0.999999978099177,0.00020929026253495482,0.0029287338256835938,7.36325796775719e-05,_aZDaIfGfPo$_$1
494,0.9999999779440105,0.00021013866413035584,0.002811431884765625,7.553762064086793e-05,_aZDaIfGfPo$_$0
495,0.9999999763868562,0.00021734530591832775,0.0033130645751953125,7.162256951037054e-05,_gr7o5ynhnw$_$13
496,0.9999999786299653,0.0002069116411848576,0.0026330947875976562,6.398501142079738e-05,_gr7o5ynhnw$_$12
497,0.9999999785321061,0.00020725881532122117,0.0032958984375,7.31680852068924e-05,_gr7o5ynhnw$_$15
498,0.999999977831418,0.00021059129376072103,0.0019483566284179688,6.955086199648501e-05,_gzYkdjNvPc$_$12
499,0.999999978611978,0.00020697564085141924,0.001953125,7.24495037189854e-05,_gzYkdjNvPc$_$17
500,0.9999999791881433,0.0002040239585287459,0.0012884140014648438,7.629294889744371e-05,_gzYkdjNvPc$_$1
501,0.9999999785059372,0.0002073542642978678,0.0018525123596191406,6.736027061992756e-05,_gzYkdjNvPc$_$3
502,0.9999999804772459,0.00019782720386927108,0.0009961128234863281,7.163824270861596e-05,_gzYkdjNvPc$_$2
503,0.999999976765141,0.00021611432062965902,0.0036745071411132812,6.677664158398026e-05,_gzYkdjNvPc$_$5
504,0.9999999785290531,0.00020740805746917318,0.0022325515747070312,6.871698330732399e-05,_gzYkdjNvPc$_$4
505,0.9999999784220244,0.00020785766760058138,0.002490997314453125,7.06827119309139e-05,_gzYkdjNvPc$_$6
506,0.9999999778841436,0.00021043068495981237,0.0018696784973144531,6.99171122350578e-05,_gzYkdjNvPc$_$9
507,0.9999999779411763,0.0002100448795264386,0.0019159317016601562,6.709536895111979e-05,a-WihYDk6vc$_$8
508,0.9999999753906175,0.00022470583986563235,0.0037689208984375,6.467935831164828e-05,a-WihYDk6vc$_$0
509,0.9999999788360567,0.00020581524566365934,0.0022640228271484375,7.094273173661115e-05,aFhc2ddipoM$_$14
510,0.9999999781780263,0.00020904098340137578,0.0024042129516601562,7.206158505784149e-05,aK5tRCXjUvU$_$0
511,0.9999999774041214,0.0002126691277922364,0.0032091140747070312,6.959465496822694e-05,b-FX9NOVQOM$_$1
512,0.9999999785773777,0.00020703420399466153,0.0031414031982421875,7.143132067619999e-05,b-FX9NOVQOM$_$4
513,0.9999999783825584,0.00020796740727484117,0.0027923583984375,7.306173849397642e-05,b1LEcg6z66g$_$0
514,0.999999977615411,0.00021166214886335374,0.0034589767456054688,7.408253860724523e-05,b1LEcg6z66g$_$4
515,0.9999999772933682,0.00021332948248713456,0.0031175613403320312,7.289230160529733e-05,b1LEcg6z66g$_$8
516,0.9999999781485368,0.00020909511593061186,0.0036211013793945312,7.243088763904855e-05,bAkUEnPoucg$_$3
517,0.9999999787001879,0.000206414964963594,0.0018892288208007812,6.940050066209633e-05,bNQkb4K5DX0$_$3
